ID	ZT20	ZT24	ZT28	ZT32	ZT36	ZT40	ZT44	ZT48	ZT52	ZT56	ZT60	ZT64	ZT68	ZT72
Ppp2r5e	0.562396089116097	0.571844167575797	0.571209788727031	0.558796941182028	0.533090599277702	0.545830455120715	0.545462711765903	0.566793285907289	0.568012617517985	0.543167483711948	0.551302685886537	0.546295723774386	0.553706319612829	0.55725504630395
Armc1	0.463952559714011	0.471241049897658	0.485345012662366	0.478893209930437	0.413355412972537	0.411941442095316	0.456722027422256	0.474424302189901	0.462782183149592	0.49258048092843	0.399053785666727	0.418883213255586	0.431278246842768	0.474197287177904
Necab2	0.477869499473629	0.501408942021674	0.510570879927648	0.49276890378645	0.458137510936766	0.448840444099693	0.470883695972643	0.484361917843627	0.493617353983398	0.50327771251028	0.470072696817331	0.44672911426064	0.486667236780545	0.479771534713832
Tln2	0.650659868113951	0.661002127511077	0.663188021080326	0.66686412775363	0.647864076536262	0.646242303794358	0.657214762384585	0.665692497292512	0.660553444792587	0.668248787966201	0.662585686258327	0.648966643163291	0.657881185260119	0.666331387515647
Clu	0.542075598427176	0.563549806767221	0.571323170179922	0.578108940668262	0.557216566934333	0.540789525013315	0.556980051498665	0.578938237427264	0.57434652078828	0.585504211102599	0.556111213870194	0.548460586377825	0.549169734622383	0.564195928458095
Atp5j	0.682202933295615	0.692439639801255	0.711064384477369	0.703125161712868	0.685729103114892	0.672117092456372	0.678745959997909	0.700102474541916	0.706974889955637	0.695074083401513	0.692773481504559	0.689229332531547	0.675173681278831	0.702078920921711
Serpinh1	0.323196319355415	0.36239949918437	0.39632961879152	0.396391371545382	0.341068659668021	0.344982741339289	0.316960936540089	0.393054997899557	0.38327113386495	0.405954045548428	0.35845476670489	0.324332787633951	0.321704314970359	0.40136378847174
Bsg	0.605359101419146	0.626145789574108	0.621412628079909	0.625176374834705	0.596580298615831	0.600619637269578	0.594716901970223	0.608429357052194	0.623025510760557	0.624925064744857	0.607598733418377	0.602202267204458	0.594457962350193	0.605808049512599
Nptx1	0.49691946108714	0.51613526214933	0.521597873072748	0.535104861589707	0.509313732384742	0.490530266943329	0.493271391278664	0.518482437352269	0.522307154004787	0.526531857070107	0.517172148473046	0.505800167876202	0.501752536254864	0.514347231993181
04.Sep	0.590361236360722	0.604271727508742	0.603953078522063	0.623941784163643	0.636698889379243	0.609895288347147	0.609221700347615	0.598616321674792	0.601625010316452	0.634256908970815	0.621982587156436	0.622295928643857	0.610863442555476	0.59790584655542
Serbp1	0.554726752688846	0.530545719727417	0.550087268556543	0.576364033943581	0.569002532473271	0.577632260891188	0.536677473619738	0.549151224718722	0.546642701538352	0.572157840781922	0.565368819450286	0.559215503842231	0.557622656971281	0.539454290887581
Dnajb2	0.43078005643464	0.418025521375555	0.423584955017617	0.436891591408539	0.457755987987006	0.435651997755989	0.435705018346698	0.418860689555611	0.427930487284161	0.453100561453809	0.445421313271694	0.439497566909653	0.428674926086438	0.420702988891669
