ID	ZT20	ZT24	ZT28	ZT32	ZT36	ZT40	ZT44	ZT48	ZT52	ZT56	ZT60	ZT64	ZT68	ZT72
Ppp2r5e	2.008081	2.150492	2.14093	1.953831	1.566359	1.758387	1.752844	2.07436	2.092739	1.718248	1.84087	1.7654	1.8771	1.93059
Armc1	0.5242405	0.6341	0.8466892	0.7494411	-0.2384109	-0.2597237	0.4152546	0.6820812	0.5065994	0.9557495	-0.4539795	-0.1550903	0.03174019	0.6786594
Necab2	0.7340107	1.088821	1.226919	0.9585896	0.4365902	0.2964554	0.6287136	0.831871	0.9713783	1.116989	0.6164894	0.2646313	0.8666191	0.7626801
Tln2	3.338482	3.494371	3.527319	3.582729	3.296341	3.271896	3.437284	3.565069	3.487608	3.6036	3.51824	3.31296	3.447329	3.574699
Clu	1.70179	2.025471	2.142639	2.244921	1.93001	1.682405	1.926445	2.257421	2.18821	2.35639	1.913349	1.798031	1.80872	2.03521
Atp5j	3.813931	3.968229	4.24896	4.129292	3.867081	3.661907	3.761824	4.083731	4.187319	4.007938	3.973261	3.91984	3.707979	4.113522
Serpinh1	-1.59738	-1.00647	-0.4950409	-0.4941101	-1.32799	-1.268993	-1.691366	-0.5443993	-0.6918716	-0.3499718	-1.065929	-1.58025	-1.619869	-0.4191608
Bsg	2.655663	2.968981	2.897638	2.954369	2.52334	2.584225	2.495253	2.701941	2.921949	2.950581	2.689421	2.60808	2.49135	2.66243
Nptx1	1.021151	1.310791	1.393129	1.59672	1.20797	0.9248466	0.9661636	1.34617	1.40382	1.467499	1.32642	1.15501	1.094	1.28384
04.Sep	2.4296	2.639273	2.63447	2.93576	3.128048	2.724037	2.713884	2.554029	2.599379	3.09124	2.906229	2.910952	2.73863	2.54332
Serbp1	1.892481	1.528	1.82255	2.21862	2.10766	2.237736	1.620424	1.808441	1.77063	2.15522	2.052889	1.96014	1.936131	1.662279
Dnajb2	0.02423096	-0.1680183	-0.08422089	0.1163502	0.4308395	0.09766579	0.09846497	-0.1554298	-0.01872063	0.3606682	0.2449188	0.1556301	-0.007499695	-0.1276608
Vapa	3.65448	3.573801	3.524599	3.81765	4.041729	3.937416	3.550203	3.517469	3.897619	3.70042	3.976099	4.0077	3.537371	3.640808
Wipf3	0.5556412	0.6599712	0.5415096	0.7063408	1.04455	0.9273758	0.5936852	0.6079502	0.6658287	0.6502495	0.7917004	1.006281	0.6282692	0.6211491
Srsf1	1.60783	1.499491	1.58457	1.66186	2.043589	1.783445	1.631824	1.321241	1.417799	1.610079	1.84713	1.93523	1.43856	1.260809
Rtn1	5.009052	4.93907	4.981089	5.082981	5.1688	5.258125	4.961435	4.981199	4.947779	5.063179	5.26018	5.18535	5.03219	5.00351
Cdc42ep4	-0.4780598	-0.7122784	-0.9488106	-0.4689693	-0.2281113	-0.2308235	-0.9349957	-0.7692089	-0.7549114	-0.5083103	-0.523241	-0.1264687	-0.8677197	-0.8675709
Hdac11	-0.5859089	-1.042849	-1.550171	-0.7340202	-0.5606403	-0.4603348	-0.933445	-1.39045	-1.70606	-1.064331	-0.7003307	-0.7392597	-1.002319	-2.00548
Add3	2.610229	2.355492	2.470459	2.546909	2.769379	2.912457	2.628954	2.16419	2.479319	2.534901	2.97336	2.770182	2.493948	2.439089
Necap1	2.4706	2.309912	2.23757	2.428801	2.25116	2.790176	2.439215	2.171751	2.231089	2.297829	2.63769	2.68886	2.315849	2.108829
Rab3c	1.983761	1.668261	1.41184	1.724661	1.99209	2.016716	2.113735	1.470041	1.79155	1.578369	2.07061	1.98831	1.85947	1.458981
Erp29	0.8941097	0.6134815	0.4345093	0.5789909	0.9885902	0.9298058	0.6558743	0.6893101	0.5406685	0.7074299	1.1581	0.9556999	0.6559601	0.5477104
Vps26b	2.16811	1.934841	2.02264	2.00835	2.344879	2.314415	2.220285	2.00753	1.98012	2.16852	2.397259	2.38789	2.402809	2.027781
Cyfip1	1.13063	0.6582909	0.8972301	0.9239006	1.229889	1.352716	1.098644	0.8102112	1.042559	0.7266884	1.237949	1.081501	1.235809	0.6488991
Mrps26	-1.827579	-2.12319	-2.842569	-1.82884	-1.6005	-1.295464	-1.398026	-2.044519	-2.193331	-1.629292	-1.257441	-1.24593	-1.0748	-1.73501
Acot13	1.712801	1.4417	1.402519	1.474171	2.279339	2.304976	1.996595	1.442291	1.621529	1.667398	2.020189	2.08935	2.26767	1.58127
Decr1	0.7087612	0.2860909	0.4210396	0.3521709	1.04484	1.020096	0.7049751	0.01733971	0.5259895	0.2659683	0.9288101	0.8060303	0.7416	0.4524002
Selenbp1;Selenbp2	0.7532806	0.5494099	0.4684792	0.5253811	0.7406387	0.7431564	0.8097649	0.6834812	0.5264988	0.5413685	0.7782192	0.8865604	0.6611805	0.5551205
Atp5i;Atp5k	2.43791	2.08007	1.89764	1.964941	2.46191	2.845715	2.568125	2.00609	1.98386	1.890268	2.749411	2.456041	2.576658	2.057499
Tceal6	-0.1373901	0.1758499	0.1830292	0.319931	0.7080593	0.9518852	0.5200653	0.1579208	-0.002651215	0.5012398	0.4513988	0.461731	0.004299164	-0.118021
Exoc7	1.004431	1.013182	1.03001	0.9456997	0.8136387	0.5513763	0.8825741	0.9863415	0.9369392	0.9037895	0.7176991	0.7932301	0.9562302	0.9840393
Kcna2	0.1340199	-0.1040096	-0.5447102	-0.04310036	0.3776188	0.01478577	0.1150436	-0.0196991	-0.6478214	0.08975983	0.3701992	0.4246712	-0.04735947	-0.2605095
Pclo	4.515961	4.51285	4.61059	4.65115	4.7812	4.771336	4.586813	4.595232	4.49637	4.648411	4.669889	4.660189	4.51557	4.589642
Gys1	-0.8979588	-1.480509	-1.50104	-1.990969	-1.84193	-1.825184	-0.8540859	-1.63962	-1.593182	-1.96661	-2.282391	-1.624729	-1.171539	-1.81052
Rph3a	3.6833	3.6201	3.571501	3.729	3.800358	3.666916	3.752504	3.490271	3.547869	3.747509	3.700018	3.879171	3.76111	3.556091
Rps23	1.830221	1.26062	1.11545	1.512569	2.380749	1.898476	1.732254	1.141581	1.301809	1.54608	1.353359	2.048512	1.50243	1.115469
Copb2	1.58448	1.34099	1.30472	1.384361	1.7239	1.793945	1.644905	1.299911	1.126228	1.469358	1.66048	1.41086	1.65299	1.189369
Clic4	0.9935112	0.8910904	0.8411102	0.8869095	1.29941	1.336466	0.9528446	0.5522404	1.08256	0.8754787	1.26318	1.27116	1.214439	1.037859
Gap43	5.231541	5.46266	5.66477	5.463619	5.82029	5.374725	5.099924	5.405031	5.466249	5.721329	5.74824	5.383101	4.897371	5.312611
Cul5	1.82127	1.9307	1.96616	1.830709	1.81675	1.487597	1.905544	2.02667	2.074549	1.93195	1.70578	1.81538	2.04315	1.925711
Uqcrq	3.334339	3.549273	3.477671	3.326302	3.252769	3.032635	3.181875	3.27743	3.549101	3.542038	3.172152	3.068201	3.26642	3.219379
Nipsnap3b	0.4587708	0.52952	0.2322006	0.6344795	0.7272587	0.8408451	0.3154545	0.2964306	0.5712185	0.3611794	0.7589092	0.7620907	0.3722095	0.1891289
Impdh2	0.1775208	-0.2153492	-0.2982407	-0.222929	0.02309036	0.02091599	0.3132343	-0.1784096	-0.3467312	-0.02876091	-0.003629684	0.2147503	0.3082104	-0.2226906
Pnpla8	-0.9364986	-0.9060898	-1.029831	-1.07316	-0.6769009	-0.8261337	-1.070635	-1.048738	-1.27713	-0.7628212	-0.7502499	-0.3671188	-0.9013309	-0.9501705
Fam49a	1.62772	1.85841	1.962339	2.09893	1.804859	1.861977	1.648275	1.91057	2.103529	2.202429	1.71611	1.46858	1.862921	1.78775
Ap3m1	-2.097609	-2.17388	-2.398581	-3.178619	NA	NA	-2.163666	-2.796419	-2.529041	-2.922161	-2.48563	-2.152439	-1.84408	-2.55113
Rpl27a	1.129871	0.5271416	0.5706596	0.7571201	1.15267	1.371645	0.5130749	0.8094597	0.5486584	0.73106	1.076309	1.190891	0.5906105	0.6926193
Cops4	2.56192	2.64934	2.70508	2.585762	2.47547	2.284826	2.666033	2.712881	2.769011	2.549271	2.494181	2.429131	2.641069	2.740841
Acss1	-0.001508713	-0.09000015	-0.05089951	-0.2577591	0.2265701	0.1997967	0.2170544	-0.002269745	-0.09273148	-0.36203	-0.07715988	0.2101097	0.25214	-0.002689362
