Uniprot.ID	Gene.Name	ZT02	ZT06	ZT10	ZT14	ZT18	ZT22	ZT26	ZT30	ZT34	ZT38	ZT42	ZT46
P38647	Hspa9	0.000870513566235928	0.000813077132762132	0.000750400071814985	0.000758884402635362	0.000828164926357445	0.000842790123659111	0.000787899391188899	0.000733373976839021	0.000754566046605288	0.000756505605275173	0.000808436509661117	0.000785529240594135
Q9Z2I9	Sucla2	0.000137379183425409	9.63739957475006e-05	4.23379833711569e-05	8.52573493989611e-05	0.000128588413307745	0.00016460871060899	0.000154603900639199	0.00011153273085969	8.30063123287262e-05	0.000123879461032609	0.000117718528526245	0.000199363176792137
Q9DBS1	Tmem43	0.00021551039359635	0.000281272157881434	0.000378166046498568	0.000374839608947501	0.000317211558890619	0.000215236729492547	0.000345977986229438	0.000319441257821631	0.000379775383554129	0.000331512579323862	0.000217277284112557	0.000239227594152705
P29268	Ctgf	0.00914452162956164	0.00852162256706154	0.00863834301022823	0.00939706869745039	0.00884863824585638	0.0112600128021058	0.010195268681293	0.00858029108494506	0.00843456209664066	0.0084657282792635	0.00964450457172097	0.0103218289087654
E9PV24	Fga	0.000817502251255979	0.000859000628813843	0.00116999785482817	0.00107689048040994	0.00101249906511135	0.000931023584245844	0.000826240244451363	0.000789629926377875	0.00087059781251028	0.000986860366705327	0.000999785523944754	0.000942979647831968
Q11011	Npepps	0.000809998197116295	0.000811401131329995	0.000782113875844009	0.000720209856985069	0.000753657944030375	0.000760614469743652	0.00085968584449395	0.000854403086459183	0.000823409000559191	0.000793301816902934	0.000708927052280819	0.00073545179831801
Q8BTZ7	Gmppb	0.000830341443803993	0.000819948716561506	0.000716512776954787	0.000672658291811968	0.000725226944112605	0.000693844295266685	0.000854929857062715	0.000819240105331938	0.00072300402233471	0.000686223794861034	0.000709240297485423	0.00073886196975299
Q542E4	Tm9sf2	0.000529570926169674	0.000488983660243179	0.0008671115251692	0.000720958513625082	0.000749220488216509	0.00055138495084128	0.000625145244894828	0.000721064248244006	0.000952537332800377	0.000733247151131314	0.000523367906657437	0.000495149315320704
Q91ZJ5	Ugp2	0.00182810333662601	0.00182538123177949	0.0013893121359354	0.0013095721846515	0.00140120699596844	0.00191267726274507	0.00196319625783548	0.00178015584271766	0.00176435160272646	0.00165395365101059	0.00171031511090917	0.00181598241671919
Q9DBG3	Ap2b1	0.000832503285883993	0.00111762750387319	0.00113666150330931	0.00103417216921361	0.000948222093419323	0.000860586074899196	0.000926035426201682	0.00100414642252267	0.001025090261394	0.0010232191287669	0.000925789597225309	0.000905855429016916
