Uniprot.ID	Gene.Name	ZT02	ZT06	ZT10	ZT14	ZT18	ZT22	ZT26	ZT30	ZT34	ZT38	ZT42	ZT46
P38647	Hspa9	73.86931329	68.99542038	63.67682268	64.39677894	70.27572777	71.51678055	66.85890861	62.23203653	64.03033549	64.19492094	68.60163026	66.65778435
Q9Z2I9	Sucla2	11.65760803	8.178024055	3.592681239	7.234696962	10.9116482	13.96822851	13.1192487	9.464351341	7.043680338	10.51205986	9.989260594	16.91739398
Q9DBS1	Tmem43	18.28760102	23.8679579	32.09009859	31.80782653	26.91767358	18.26437866	29.35871105	27.10687951	32.22666237	28.13121763	18.43753434	20.30017542
P29268	Ctgf	775.9781804	723.1207319	733.0252978	797.4086086	750.8703553	955.4927638	865.1415963	728.099176	715.7330272	718.3777011	818.4053154	875.8811384
E9PV24	Fga	69.37092339	72.89235806	99.28270097	91.38187314	85.91780019	79.00402187	70.11240472	67.00575692	73.87646219	83.74217293	84.83896513	80.01857953
Q11011	Npepps	68.73415063	68.85319965	66.36796618	61.11496664	63.95327648	64.54358753	72.95050352	72.50222365	69.87215339	67.31734314	60.15753982	62.40835457
Q8BTZ7	Gmppb	70.46042087	69.5785235	60.80124291	57.07987563	61.54070243	58.87765982	72.54692391	69.51839276	61.35207159	58.23100576	60.18412092	62.69773205
Q542E4	Tm9sf2	44.93788744	41.49376712	73.58062573	61.17849552	63.57672656	46.78896373	53.04805317	61.18746786	80.82961758	62.22127446	44.41151679	42.01696713
Q91ZJ5	Ugp2	155.1276664	154.8966763	117.8930891	111.1265829	118.9024532	162.30437	166.5912687	151.058978	149.717875	140.3498178	145.1324915	154.0991195
Q9DBG3	Ap2b1	70.64386866	94.83870146	96.45387269	87.75691836	80.4634386	73.02689452	78.58074092	85.20901862	86.98625341	86.8274744	78.55988057	76.86832357
Q3UPH1	Prrc1	18.39077951	16.19500232	6.729189537	5.701666962	0	19.7266927	20.56057228	21.60015486	11.09348481	7.003880335	10.50824994	13.94001982
Q8BWW3	Pgm3	110.7535778	115.9361133	99.17358918	98.39867189	101.7885003	113.8972722	121.3808547	118.7315117	117.1236904	100.8429788	96.78368306	113.4869381
Q80Y52	Hsp90aa1	300.8955788	291.34655	290.992193	264.6312849	231.3565489	286.2162653	305.8502225	338.7431906	306.749444	292.6263236	267.8510057	274.526426
Q8CGB6	Tns2	26.40351856	24.87785509	29.83102484	30.43079536	28.52630013	25.50458405	27.84213885	29.17505094	28.64241856	26.58468793	23.58665487	26.80323799
Q71LX8	Hsp90ab1	1519.611245	1543.83478	1438.292262	1400.376139	1389.062188	1453.619725	1505.792106	1544.623042	1566.653209	1518.686979	1412.623123	1407.07099
P63330	Ppp2ca	35.63931419	31.0645872	31.15746146	14.61066257	12.28077518	16.82149431	30.37377903	38.48438348	17.23762505	14.38106197	15.07244849	7.847625597
Q501P1	Fbln7	569.2903477	528.6976166	475.622164	511.0083511	474.120267	602.2551543	547.7350365	531.829946	490.3647069	494.8500136	528.3658187	594.0074288
Q5M9M0	Rpl13a	102.5506935	118.1009883	160.2041203	220.1466786	197.3727235	134.050838	131.5677091	127.2723898	177.1315705	144.6155969	135.466821	129.5469885
P17809	Slc2a1	90.23625154	140.3038961	133.9145514	123.7551174	89.59823959	74.03638704	128.3397605	206.2077422	147.644156	103.3064576	108.5428594	72.19595258
P55264	Adk	324.6779289	308.9947722	275.7231023	266.1675274	236.0231638	295.6112217	311.3677174	315.9930929	290.1556097	278.9512697	288.3560681	284.1376512
