Gene.ID	AFFY.ATH1	Protein.ID	Transcript.ID
AT5G16970	246463_at	AT5G16970.1	AT5G16970.1
AT4G32100		AT4G32100.1	AT4G32100.1
AT2G43120		AT2G43120.2	AT2G43120.2
AT2G43120		AT2G43120.1	AT2G43120.1
AT1G30814		AT1G30814.1	AT1G30814.1
AT1G30814		AT1G30814.4	AT1G30814.4
AT1G30814		AT1G30814.2	AT1G30814.2
AT1G30814		AT1G30814.3	AT1G30814.3
AT3G18710	257748_at	AT3G18710.1	AT3G18710.1
AT4G25880	254045_at	AT4G25880.4	AT4G25880.4
AT4G25880	254045_at	AT4G25880.2	AT4G25880.2
AT4G25880	254045_at	AT4G25880.5	AT4G25880.5
AT4G25880	254045_at	AT4G25880.1	AT4G25880.1
AT4G25880	254045_at	AT4G25880.3	AT4G25880.3
AT1G78930	264142_at	AT1G78930.1	AT1G78930.1
AT3G07950	258638_at	AT3G07950.1	AT3G07950.1
AT4G03450	255406_at	AT4G03450.2	AT4G03450.2
AT4G03450	255406_at	AT4G03450.1	AT4G03450.1
AT1G71695	261518_at	AT1G71695.1	AT1G71695.1
AT1G58983	245841_s_at	AT1G58983.1	AT1G58983.1
AT1G12980		AT1G12980.1	AT1G12980.1
AT5G41480	249304_at	AT5G41480.1	AT5G41480.1
AT5G15008		AT5G15008.1	AT5G15008.1
AT3G51870	246303_at	AT3G51870.1	AT3G51870.1
AT4G29950	253647_at	AT4G29950.3	AT4G29950.3
AT4G29950	253647_at	AT4G29950.1	AT4G29950.1
AT4G29950	253647_at	AT4G29950.2	AT4G29950.2
AT3G18310	257721_at	AT3G18310.1	AT3G18310.1
AT5G07360	250627_at	AT5G07360.3	AT5G07360.3
AT5G07360	250627_at	AT5G07360.1	AT5G07360.1
AT5G07360	250627_at	AT5G07360.2	AT5G07360.2
AT4G08535		AT4G08535.1	AT4G08535.1
AT4G08535		AT4G08535.3	AT4G08535.3
AT4G08535		AT4G08535.2	AT4G08535.2
AT4G26490	253965_at	AT4G26490.1	AT4G26490.1
AT5G46240	248888_at	AT5G46240.1	AT5G46240.1
