ID	default.pvalue	period	phase	amplitude
Q31RN5	0.0131034045561451	23.7951807228916	20.2978946598493	1.61919187880365
Q31QG0	0.00229640649807672	24.6740901683867	21.9330632763185	1.39813638756304
Q31KQ3	0.0255283109534422	23.8953182535508	17.8723388078355	1.3907869306569
Q31KI8	0.0033531026106145	23.7454260324098	21.3178496445188	1.43545126167148
Q31PT9	0.0532731993407525	24.1237387148168	20.8633976394993	1.38106004154928
Q31PT4	0.270493054424751	25	1.2792440473001	1.5133311026745
P38043	0.936568608476481	25	16.0225251693881	1.06557453915179
Q31S87	0.73754064185205	23	14.6002742269125	1.03845454014551
Q31RB8	0.881355259455007	25	18.9880769603761	1.01253617725214
Q31PR6	0.999999999666961	25	0.499941261374303	1.16852085921798
Q31PE9	0.376766954567674	25	24.1661031873344	1.1617986408465
Q31LA5	0.0321125774842289	25	19.0630081432712	1.17934738528162
Q31KD9	0.00840271932756631	23.7951807228916	10.6183873013722	1.185268571377
P39660	0.999997538639607	24.1237387148168	18.1831978554248	1.05241159539723
Q6VYY4	0.984416999861119	23	11.8353834899192	1.12396549348591
Q07948	0.146627222566192	23	22.8136071743041	1.07104696075428
O50208	0.326988418302301	25	16.9154957810707	1.07679583579783
Q935Z1	0.0635773042758663	24.9725123694338	23.6538345668012	1.13110421577807
Q935Y1	0.999646402149474	23	4.4999412613743	1.21488473304333
Q935X4	0.972250104817919	25	6.50005939427376	1.06686858364129
Q54705	0.381585637420471	23.6219448777951	15.149076893435	1.07996546173008
Q54704	0.673370921297277	23	15.4525365714008	1.0581945559032
Q935X0	0.472819605239333	25	15.2336318822618	1.09931750260466
Q8GIT2	0.261789976268882	25	12.0232766524389	1.13730766409698
Q8GIS8	0.99999999972882	23	11.6073799938217	1.03342761868665
Q8GIS7	0.0183305497816336	25	10.6504360676122	1.12942749550349
Q8GIS6	0.370337863619678	23.5240807871569	21.9256175834739	1.15089434118621
Q8GIS3	0.15748972280293	25	20.8308773738977	1.07209335003764
Q935Y0	0.115660145790007	25	20.0532666373594	1.06124999025002
Q935X8	0.212871122285269	23	18.5542309531595	1.05241901055051
Q935X2	0.55970884949448	23	20.954226404852	1.09833308572884
Q8GIT7	0.970924341713427	23	13.5296781795629	1.09467896775113
Q8GIR9	0.99963174472655	25	14.5569949864366	1.22503777149923
Q8KPU3	0.738812501540759	23	13.9498307688259	1.045796025115
O33699	0.278616747330353	25	20.2711387194862	1.19348095346968
Q54765	0.999999875404405	23	20.028565634362	1.04347430199058
Q8KPT7	0.996205110492326	23	4.4999412613743	1.04412117024271
Q79PG5	0.273091522859243	25	19.1315525422793	1.10155606717598
Q8KPS6	0.0867560042716616	25	19.4037756053478	1.11977327884596
Q8KPS4	0.42583349038193	25	22.043294866564	1.05025735672695
Q8KPR8	0.972572430219881	23	16.1975211584435	1.23848732231675
Q79PF2	0.99999670852176	25	0.683801383586498	1.0513760252355
Q8KPR2	0.392337251051532	25	19.4429711196994	1.05452480785091
Q8KPQ5	0.89116129453249	25	23.4779571087887	1.07206605935375
Q8KPQ2	0.998684335334887	25	0.499941261374303	1.18449922177441
Q8KPQ0	0.360865061754896	25	24.1190559473289	1.11758062774031
Q8GJL5	0.0961696301438764	25	21.042921071163	1.10027243222196
Q79N42	0.926990497673484	23	6.50005939427376	1.12047935638571
Q8GJN7	0.194740456824226	25	16.815990107979	1.12562257049928
Q8GJM6	0.369450489936606	23	2.9285103000008	1.09807594226781
Q8GJM5	0.0445968974547238	24.6740901683867	22.3969243924525	1.06163274175333
Q8GJL3	0.726986352287389	25	16.6808042441791	1.00822473772468
Q31SD5	0.999988369993113	25	15.5133959070359	1.39245669930748
Q31SD1	0.146337508996289	24.7547683923706	16.2210916212071	1.08818173154336
Q31SD0	0.993992582577098	25	12.7396762459774	1.05500347597949
Q31SC6	0.730769728026072	23.8702049395691	2.5805220785155	1.09768254357662
Q31SC4	0.0201782372347483	23.3307652799178	2.9631805882855	1.15820277996997
Q31SC2	0.111908976420904	25	18.8505118785332	1.05470140587333
Q31SB6	0.993614952773459	23	19.9670489043907	0.955861470757951
Q31SB1	0.680915396297919	23	12.3227142821326	1.0631690844312
Q31SA9	0.276506222689318	25	21.4160290871723	0.969904970601753
Q31SA7	0.750738571574616	25	0.499941261374303	1.3573769577026
Q31SA6	0.0182556258925324	23.7702773417059	19.9162895833444	1.23875745484104
Q31S93	0.572945040491897	23	3.1383744334602	1.05888734186861
Q31S91	0.685427604618327	25	12.9838706234302	1.06214206269117
Q31S90	0.164819364102631	23	14.3453179219527	1.21736555192289
Q31S88	0.999999998587928	25	0.499941261374303	1.12838320630133
Q31S84	0.999999999889122	23	18.7988554391795	1.04518020146718
Q31S83	0.146956451861691	25	22.7112484176933	1.09458611035703
Q31S82	0.999999968325763	23	2.1702049648591	1.03695267047147
Q31S80	0.421959494954372	23.0935434672089	3.9895416933857	1.24075918444786
Q31S75	0.0830620658687375	25	18.50774524142	1.37320616058901
Q31S69	0.885273364204281	25	16.3647810438118	1.04161610319454
Q31S66	0.999198529437023	23	3.9094813222225	1.04478775098344
Q31S65	0.512852283428608	25	17.6995672310608	1.05568816799324
Q31S62	0.134404912378722	25	22.5163074485956	1.0997557110383
Q31S61	0.999758854176433	25	18.4182612497216	1.01946283882418
Q31S60	0.0808634947277482	25	20.9384623790861	1.06151914714277
Q31S59	0.788492252964373	23.8953182535508	2.2436920124349	1.05010111810492
Q31S58	0.0427954679524372	25	22.2184301464868	1.08079241435629
Q31S56	0.511386750265178	25	20.2314816822925	1.03690550592572
Q31S55	0.138994459017275	24.4614970382337	18.4821659654763	1.06145979021717
Q31S51	0.0822353376786317	23	17.2295190024419	1.04514951637111
Q31S49	0.0995313941399973	25	21.5187723079845	1.09785097713758
Q31S48	0.16059262931571	25	20.4215982676339	1.06858126332284
Q31S47	0.999999997881187	23	6.50007266417105	1.10817997192003
Q31S45	0.801000734228151	23	4.4999412613743	2.16665191191607
Q31S42	0.346198774399725	23.023314749113	5.4361392143085	1.04246831453148
Q31S41	0.0492313826549734	24.2784607161945	20.2071466439591	1.09052668964116
Q31S39	0.0274686590214985	25	20.2549428407297	1.06402129437775
Q31S38	0.133885770715185	25	22.0067955403472	1.05536483029065
Q31S37	0.00714291044913917	25	18.3930493167895	1.09771230082442
Q31S36	0.972614930298313	23	4.4999412613743	1.12702460860315
Q31S35	0.573027016999713	25	22.1861646985449	1.08126242345838
Q31S32	0.195301227665327	23	17.5876824970854	1.0647642579841
Q31S29	0.109950534535889	25	19.3532060930247	1.00440055016126
Q31S28	0.120312063097926	23.9204844655082	23.3774828830324	1.10396486523885
Q31S27	0.0897336198005337	25	17.0345484976595	1.06094232202381
Q31S26	0.999752541718337	25	9.54059869941702	1.04682829122727
Q31S25	0.992078040299064	25	22.6636039702323	1.06145242649551
Q31S13	0.285662388874279	25	21.1145184406583	1.06242989606296
Q31S11	0.268105857367536	25	15.1829906529007	1.06524947214968
Q31S09	0.162847594864724	25	19.0990063069229	1.03109918730515
Q31S08	0.0963836524136419	25	23.3964773806006	1.02992603590135
Q31S07	0.188473433199004	25	15.2859025307697	1.05142908038207
Q31S06	0.250586612632445	23	15.4735574002863	1.05826072802056
Q31RZ8	0.849996310374286	23	22.5924636389298	1.08956726655566
