ID	default.pvalue
AT1G01030	0.285643540612645
AT1G01120	8.5110126337292e-07
AT1G01140	9.70760930073722e-07
AT1G01180	0.00340362560034027
AT1G01240	0.0428884169143158
AT1G01260	0.775122902543271
AT1G01300	8.37682368534261e-07
AT1G01360	0.786422059049371
AT1G01430	0.000904867744643085
AT1G01490	0.295951375360732
AT1G01520	6.98768679301448e-07
AT1G01540	0.898010358297624
AT1G01550	0.00682005966527897
AT1G01570	0.000671140771719826
AT1G01600	0.726772535039525
AT1G01630	0.00310155424263643
AT1G01690	0.148560644419515
AT1G01730	0.13315067606976
AT1G01790	0.872165291537411
AT1G01800	0.88053603466454
AT1G01830	0.0399079243344833
AT1G02000	9.37568857215363e-07
AT1G02080	0.770304186468893
AT1G02110	0.34891272981309
AT1G02150	0.0143439470346941
AT1G02170	0.355968759822075
AT1G02205	8.85274577513112e-07
AT1G02300	7.36394330700569e-07
AT1G02380	0.123392588900091
AT1G02390	0.811761472031893
AT1G02400	6.35398904606237e-07
AT1G02500	0.345491454088151
AT1G02560	6.73981677008854e-07
AT1G02650	0.0544638054560709
AT1G02660	6.44768049405315e-07
AT1G02720	0.0349448594137821
AT1G03030	0.0488271640850174
AT1G03090	0.0731532201700316
AT1G03220	0.734870784457549
AT1G03230	0.0314796926364781
AT1G03440	0.676782194498892
AT1G03610	0.00358608736912722
AT1G03740	0.796099137677791
AT1G03930	0.0958672879639762
AT1G04170	0.0840655441408452
AT1G04250	0.00514371151913688
AT1G04350	0.264736413210352
AT1G04430	0.743363555964389
AT1G04440	0.525746281737673
AT1G04520	0.0239856211004561
AT1G04540	0.24645122107727
AT1G04550	0.000436308779058316
AT1G04555	0.0406458169254423
AT1G04690	0.00382016232375136
AT1G04810	0.0967395442785827
AT1G05000	0.000888845451378322
AT1G05010	6.52508108591086e-07
AT1G05100	0.801654053940167
AT1G05562	0.0259708240173337
AT1G05690	0.0180176205702552
AT1G05805	4.09920713652391e-05
AT1G05890	7.1936359412364e-07
AT1G06290	0.112181992093059
AT1G06410	0.000119358399276942
AT1G06630	0.00333191606455318
AT1G06640	0.045974088585673
AT1G06780	0.0168045026857554
AT1G06800	0.0031146885381222
AT1G07180	8.51722915771563e-07
AT1G07200	0.0660589506163781
AT1G07240	0.135102126330934
AT1G07260	6.3316703581714e-07
AT1G07280	7.93242175114361e-07
AT1G07420	0.00504914723919268
AT1G07430	7.69906048724643e-07
AT1G07510	8.55408055636322e-07
AT1G07630	0.0294030515720663
AT1G07720	0.00913773328512714
AT1G07728	0.00384489011149849
AT1G07890	0.0113594201988208
AT1G07910	0.040370252894648
AT1G07920	0.52887011233319
AT1G07990	0.156991137619106
AT1G08260	0.0730936724719536
AT1G08300	0.0698018551389289
AT1G08370	0.774479191015209
AT1G08420	0.303518282341268
AT1G08460	0.0229987280146319
AT1G08510	0.288600237139049
AT1G08530	0.0592553240133445
AT1G08550	0.000107182362779878
AT1G08570	0.0773252025954402
AT1G08760	0.16394520237987
AT1G08770	0.0726265794138411
AT1G08890	0.00912910308836404
AT1G08910	0.304394025204998
AT1G08920	0.00370439696260494
AT1G08930	7.93613432949126e-05
AT1G08960	0.00137413675915157
AT1G09040	0.0175851427907569
AT1G09070	0.014033287967314
AT1G09160	1.25323635168668e-06
AT1G09250	0.820132137978941
AT1G09490	0.00978873169297573
AT1G09530	0.100145002264111
AT1G09560	0.0256107795924662
AT1G09794	0.636829767379099
AT1G09815	0.634635376172822
AT1G09870	0.296459452626377
AT1G09960	0.162954378358393
AT1G09970	0.130786767241055
AT1G10150	0.742040908539828
AT1G10560	0.0020760809103593
