ID	ZT0	ZT3	ZT6	ZT9	ZT12	ZT15	ZT18	ZT21	ZT24	ZT27	ZT30	ZT33	ZT36	ZT39	ZT42	ZT45	ZT48	ZT51	ZT54	ZT57	ZT60	ZT63	ZT66	ZT69	ZT72
AT1G01030	2.378609332	2.434888927	4.151947539	2.624963423	2.220389336	2.782123415	2.978568933	2.879816298	2.264988261	2.739646291	3.78135171	3.058209813	2.763007616	2.907425156	2.305338023	3.232360181	2.404094432	2.016507096	3.323679415	3.189882736	2.880876119	3.141038573	2.491166744	2.713101269	2.674871708
AT1G01120	2.962488825	2.754594872	2.772938456	2.928856829	2.717907704	3.853171739	4.225135843	3.623876939	2.898286281	2.494725649	2.524280983	3.217258527	3.196876782	4.856973422	2.966563058	2.598674408	1.930152678	2.338805296	2.754592905	2.918665956	2.754592905	5.133146271	3.732916689	2.948221593	4.105902631
AT1G01140	4.196078745	7.651673005	9.09453517	4.93309545	6.556968457	7.372800486	4.151906529	4.549432744	5.386050302	8.425061893	8.828653606	6.442643444	7.291385287	7.835278514	4.664615888	4.937429293	5.916081301	8.593078135	8.998395669	4.902783242	6.640105832	6.890402991	4.006407927	4.984196734	5.476983081
AT1G01180	5.634915046	6.082182347	5.078279464	7.437037837	5.226824443	7.128526653	7.076286001	5.683885919	6.410287192	4.704465111	5.494531879	5.16152626	6.137678285	7.55294088	7.4680527	7.350527941	5.169691759	4.849745262	4.923201518	6.547400958	5.884662292	6.377639944	7.639450631	5.964652253	6.493533037
AT1G01240	2.575817283	3.269496219	6.389407644	6.371321415	4.604252846	2.796085002	2.682661648	3.185662983	2.011997673	4.209740491	5.462310677	3.60482659	3.687015979	2.176376568	5.026703015	3.343466722	2.347330619	3.775780519	7.041986827	3.660715374	4.443158355	2.871699294	5.815721147	3.825096884	1.844329883
AT1G01260	4.631299689	5.314347298	6.097417294	6.210596084	6.931814567	5.948699799	6.440910624	6.010555748	5.363042407	7.40296736	7.522736294	5.92763822	6.393531633	5.464380877	6.373790387	7.058158633	5.503863398	5.773656499	6.49881828	5.620990861	6.086884274	5.157733299	6.44354279	7.585908328	4.699732701
AT1G01300	7.497231437	6.905344745	7.818220075	10.12749097	8.906923577	10.69689525	10.84409248	8.030849491	7.121040931	7.965419366	6.96770241	10.21847176	10.1060236	12.48788918	10.1734925	8.658515172	6.755072994	7.298908403	8.170892838	9.793213235	9.475291594	11.1170428	10.63555224	7.642391904	8.237339483
AT1G01360	8.005831973	8.819107916	8.411686442	6.608058194	7.730038975	7.349256597	8.848874703	10.22941302	7.672059765	9.143471559	8.837911984	9.156007596	8.51040172	8.077914234	7.642281199	11.86066592	8.710984525	8.461824579	7.422900561	9.107430454	9.669985088	7.322617501	7.563930971	9.413003066	7.325746279
AT1G01430	5.353147491	6.572266887	7.792349253	7.941603854	8.581984249	7.480347132	5.968480743	7.903090746	5.810558007	6.454779996	7.967609703	8.147679181	7.472638039	8.723540766	7.540045856	7.689311515	5.994485183	6.911227217	7.03063535	8.005159796	8.313309818	8.680207138	7.565083045	7.569903296	5.628552749
AT1G01490	7.785180735	8.820522431	8.408348486	6.361213347	9.067826798	8.764584539	9.050155736	9.626224358	7.587926061	10.83231609	11.19248535	10.46037844	9.289609	8.991280209	6.718430511	11.09827416	8.847019328	10.01091289	9.426018851	9.091373102	8.886267642	8.736124909	6.636977147	9.057031767	7.403423864
AT1G01520	2.564655009	6.532124671	4.600887812	1.872713193	0.351133974	0.979388389	1.28749032	0.526700962	5.633634795	3.819439866	5.254960901	0.306381386	0.438917155	0.790051442	1.27372037	0.526700962	11.04350774	4.738584025	4.100002596	0.456129592	0.788329634	0.93463602	1.755668618	0.790051442	2.642109146
AT1G01540	11.80081569	11.88138261	13.75680145	11.77618961	12.15217698	12.83811478	11.45280318	15.83139962	12.41066251	14.74709264	12.2775033	16.36290581	15.33120238	13.91681631	12.31889694	17.9798508	13.99290729	13.12792251	12.55052667	14.50539205	12.21371243	13.19283302	13.06973534	15.78775921	10.44236046
AT1G01550	5.952127059	7.400826202	7.335376718	5.325318587	6.239097871	5.156664107	5.675221345	6.349858535	6.30328871	7.931968267	8.563813176	4.685927937	5.178057355	5.597189476	6.38761329	7.035819467	7.074837428	8.938882677	8.317113029	5.841362222	7.130212668	5.85898741	5.185609213	5.720536579	6.098125397
AT1G01570	1.540718939	2.622954042	2.718915775	4.737662927	2.354616602	4.894048395	3.269804871	1.631349465	1.450088413	2.084500605	2.050737781	1.812609222	2.821983769	3.516819816	3.367543603	1.945890702	2.123597615	2.427474703	2.44702245	3.150741324	2.830869108	4.307615581	4.21875911	1.478521519	2.368831463
AT1G01600	2.025815186	3.731481624	2.878648405	2.1576396	1.517343645	1.907440859	3.099252891	1.584601785	1.353233783	1.93165241	2.06617007	2.195304131	1.713736191	3.085803477	4.468627649	1.372066062	0.686033031	0.930851997	2.606923656	1.920891115	1.85901367	2.270634816	2.348652582	1.234859456	2.781794696
AT1G01630	2.905837121	3.090125772	3.350104404	4.116873886	4.20079398	3.284287029	3.440600838	2.994690578	2.853183221	3.320484214	3.662736937	3.63640739	4.429506196	3.883225144	3.178976958	2.769266067	2.517514606	3.679188653	3.004561038	3.394528708	4.452542261	2.808756492	3.188849557	3.399467436	3.037469702
AT1G01690	2.129118164	3.047023417	3.188401928	2.83600869	2.690411951	3.160970277	3.838318308	2.551143568	1.399014215	3.038580739	3.120877863	2.03627112	2.954175718	2.259946039	3.513358979	3.658960253	1.641678822	1.939205347	3.080783249	3.255923667	3.521799481	3.099776593	3.633636134	2.549033441	2.044711622
AT1G01730	4.539307867	3.31003961	4.261599424	4.07373492	4.861939736	4.373907986	3.912419101	4.727169462	3.132387885	4.165623678	6.489392894	5.017126165	4.896649794	5.113102519	4.337149358	5.184571604	3.340669218	2.8179219	5.249911017	5.737942419	5.180483956	4.04719217	4.290183993	4.616902874	4.847642456
AT1G01790	6.119148554	5.901058134	6.793246215	4.561871555	5.908267735	6.760803012	6.384096818	8.006261525	5.19451727	7.270877065	7.692643897	8.447843531	6.434563987	7.807997507	5.167477577	8.38837036	5.699189316	7.561063284	6.688702228	6.2525217	7.279889059	6.6292278	5.380160644	8.267609549	4.963806504
AT1G01800	8.187180707	7.273964624	7.275552826	7.971179557	8.882813131	8.266590801	8.225291677	10.18672688	6.495745701	9.535557294	9.967555017	9.008274646	8.585813247	7.628133644	7.02302371	9.703913505	6.880090557	8.655694079	8.066471602	8.665223284	8.687458094	8.253885186	6.452859641	10.2867836	8.684281693
AT1G01830	4.832785362	4.190095215	5.250801426	5.299706284	4.16640509	5.495344645	4.404067385	4.205379166	3.961600145	4.743370859	5.870565646	5.165971807	5.123176774	5.32798538	4.641732656	4.55461745	3.702537172	4.72273754	5.307348255	4.381141475	5.222522386	5.144577965	5.573288815	4.339877936	3.936378813
