Gene.ID	Transcript.ID	AFFY.ATH1	Chromosome	Gene.start	Gene.end	Transcript.start	Transcript.end	Transcription.start.site
AT5G16970	AT5G16970.1	246463_at	5	5575973	5578086	5575973	5578086	5578086
AT4G32100	AT4G32100.1		4	15511757	15512218	15511757	15512218	15512218
AT2G43120	AT2G43120.2		2	17927181	17929138	17927181	17929085	17927181
AT2G43120	AT2G43120.1		2	17927181	17929138	17927217	17929138	17927217
AT1G30814	AT1G30814.1		1	10942648	10944727	10942648	10944727	10944727
AT1G30814	AT1G30814.4		1	10942648	10944727	10942648	10944727	10944727
AT1G30814	AT1G30814.2		1	10942648	10944727	10942663	10944727	10944727
AT1G30814	AT1G30814.3		1	10942648	10944727	10942648	10944282	10944282
AT3G18710	AT3G18710.1	257748_at	3	6434082	6436046	6434082	6436046	6436046
AT4G25880	AT4G25880.4	254045_at	4	13154708	13159382	13155518	13159382	13155518
AT4G25880	AT4G25880.2	254045_at	4	13154708	13159382	13154889	13159382	13154889
AT4G25880	AT4G25880.5	254045_at	4	13154708	13159382	13155518	13159382	13155518
AT4G25880	AT4G25880.1	254045_at	4	13154708	13159382	13154708	13159382	13154708
AT4G25880	AT4G25880.3	254045_at	4	13154708	13159382	13154969	13159382	13154969
AT1G78930	AT1G78930.1	264142_at	1	29677904	29680757	29677904	29680757	29680757
AT3G07950	AT3G07950.1	258638_at	3	2531773	2534545	2531773	2534545	2531773
AT4G03450	AT4G03450.2	255406_at	4	1529372	1531819	1529385	1531780	1531780
AT4G03450	AT4G03450.1	255406_at	4	1529372	1531819	1529372	1531819	1531819
AT1G71695	AT1G71695.1	261518_at	1	26964087	26966688	26964087	26966688	26964087
AT1G58983	AT1G58983.1	245841_s_at	1	21805932	21807496	21805932	21807496	21807496
AT1G12980	AT1G12980.1		1	4429718	4430965	4429718	4430965	4429718
AT5G41480	AT5G41480.1	249304_at	5	16595863	16598682	16595863	16598682	16595863
AT5G15008	AT5G15008.1		5	4856975	4857139	4856975	4857139	4857139
AT3G51870	AT3G51870.1	246303_at	3	19243902	19246936	19243902	19246936	19243902
AT4G29950	AT4G29950.3	253647_at	4	14656954	14660573	14657045	14660370	14657045
AT4G29950	AT4G29950.1	253647_at	4	14656954	14660573	14656954	14660573	14656954
AT4G29950	AT4G29950.2	253647_at	4	14656954	14660573	14657048	14660573	14657048
AT3G18310	AT3G18310.1	257721_at	3	6284356	6287225	6284356	6287225	6287225
AT5G07360	AT5G07360.3	250627_at	5	2326687	2330462	2326693	2330462	2330462
AT5G07360	AT5G07360.1	250627_at	5	2326687	2330462	2326687	2330273	2330273
AT5G07360	AT5G07360.2	250627_at	5	2326687	2330462	2326704	2330142	2330142
AT4G08535	AT4G08535.1		4	5424946	5427501	5424946	5427501	5424946
AT4G08535	AT4G08535.3		4	5424946	5427501	5424946	5427351	5424946
AT4G08535	AT4G08535.2		4	5424946	5427501	5424946	5427501	5424946
AT4G26490	AT4G26490.1	253965_at	4	13380409	13381440	13380409	13381440	13380409
AT5G46240	AT5G46240.1	248888_at	5	18743510	18747406	18743510	18747406	18747406
AT5G62260	AT5G62260.3	247473_at	5	25008843	25011666	25008843	25011666	25008843
AT5G62260	AT5G62260.1	247473_at	5	25008843	25011666	25008843	25011666	25008843
AT5G62260	AT5G62260.2	247473_at	5	25008843	25011666	25008843	25011666	25008843
AT4G16955	AT4G16955.1		4	9539931	9540961	9539931	9540961	9539931
AT3G25717	AT3G25717.1		3	9375102	9375671	9375102	9375671	9375671
AT1G45223	AT1G45223.1		1	17141192	17141771	17141192	17141771	17141192
AT5G35715	AT5G35715.1		5	13881222	13882937	13881222	13882937	13881222
AT5G41908	AT5G41908.1		5	16777055	16777525	16777055	16777525	16777055
AT2G21390	AT2G21390.1	263743_at	2	9151940	9156906	9151940	9156906	9151940
AT3G48330	AT3G48330.2		3	17892738	17894162	17892738	17893975	17893975
AT3G48330	AT3G48330.3		3	17892738	17894162	17892969	17894162	17894162
AT3G48330	AT3G48330.4		3	17892738	17894162	17892969	17894153	17894153
AT3G48330	AT3G48330.1		3	17892738	17894162	17892795	17894132	17894132
AT4G32710	AT4G32710.1	253397_at	4	15779911	15783503	15779911	15783503	15779911
AT3G46440	AT3G46440.1	252527_at	3	17089013	17092065	17089013	17092065	17092065
AT3G46440	AT3G46440.2	252527_at	3	17089013	17092065	17089013	17092065	17092065
AT2G21930	AT2G21930.1	263896_at	2	9347641	9349178	9347641	9349178	9349178
AT2G21930	AT2G21930.2	263896_at	2	9347641	9349178	9347641	9349140	9349140
AT3G53910	AT3G53910.1	251913_at	3	19959856	19960446	19959856	19960446	19960446
AT4G25090	AT4G25090.1	254092_at	4	12878667	12883805	12878667	12883805	12883805
AT4G25090	AT4G25090.2	254092_at	4	12878667	12883805	12878771	12883701	12883701
AT2G18870	AT2G18870.1		2	8167471	8168668	8167471	8168668	8167471
AT1G56250	AT1G56250.1		1	21061522	21063047	21061522	21063047	21063047
AT3G16830	AT3G16830.1	257553_at	3	5731519	5737854	5731519	5737854	5731519
AT5G20470	AT5G20470.1	246081_s_at	5	6916181	6920120	6916181	6920120	6920120
AT5G04950	AT5G04950.1	250832_at	5	1457641	1459039	1457641	1459039	1459039
AT4G13720	AT4G13720.1	254686_at	4	7966805	7968965	7966894	7968925	7968925
AT4G13720	AT4G13720.2	254686_at	4	7966805	7968965	7966805	7968965	7968965
AT5G50110	AT5G50110.1	248538_at	5	20373491	20376252	20373491	20376252	20373491
AT5G50110	AT5G50110.2	248538_at	5	20373491	20376252	20373822	20376207	20373822
AT3G03305	AT3G03305.1	258848_at	3	775368	778396	775368	778396	778396
AT5G66670	AT5G66670.2	247051_at	5	26611258	26613348	26611258	26612889	26612889
AT5G66670	AT5G66670.4	247051_at	5	26611258	26613348	26611258	26613130	26613130
AT5G66670	AT5G66670.3	247051_at	5	26611258	26613348	26611258	26613348	26613348
AT5G66670	AT5G66670.1	247051_at	5	26611258	26613348	26611258	26613348	26613348
AT4G08039	AT4G08039.1		4	4884848	4886035	4884848	4886035	4886035
AT2G38310	AT2G38310.1	267034_at	2	16049918	16051356	16049918	16051356	16049918
AT2G26900	AT2G26900.1	266857_at	2	11474752	11478142	11474752	11478142	11478142
AT5G23000	AT5G23000.1	249858_at	5	7696135	7698022	7696135	7698022	7696135
AT1G66852	AT1G66852.1		1	24938500	24938832	24938500	24938832	24938832
AT1G69810	AT1G69810.2	260403_at	1	26276948	26279255	26276948	26279255	26279255
AT1G69810	AT1G69810.1	260403_at	1	26276948	26279255	26276948	26279255	26279255
AT1G72450	AT1G72450.2	260429_at	1	27273968	27276562	27274065	27276317	27276317
AT1G72450	AT1G72450.1	260429_at	1	27273968	27276562	27273968	27276562	27276562
AT5G03560	AT5G03560.3	250896_at	5	900315	902770	900403	902759	902759
AT5G03560	AT5G03560.4		5	900315	902770	901148	902757	902757
AT5G03560	AT5G03560.1	250896_at	5	900315	902770	900315	902770	902770
AT5G03560	AT5G03560.2	250896_at	5	900315	902770	900315	902770	902770
AT4G27340	AT4G27340.3		4	13687174	13690538	13688185	13690515	13690515
AT4G27340	AT4G27340.2	253912_at	4	13687174	13690538	13687568	13690478	13690478
AT4G27340	AT4G27340.1	253912_at	4	13687174	13690538	13687174	13690538	13690538
AT1G76280	AT1G76280.4	261775_at	1	28617577	28622777	28617577	28622777	28622777
AT1G76280	AT1G76280.2	261775_at	1	28617577	28622777	28617577	28622777	28622777
AT1G76280	AT1G76280.5	261775_at	1	28617577	28622777	28617577	28622777	28622777
AT1G76280	AT1G76280.3	261775_at	1	28617577	28622777	28617902	28622601	28622601
AT1G76280	AT1G76280.1	261775_at	1	28617577	28622777	28617577	28622777	28622777
AT3G03272	AT3G03272.1		3	763657	764437	763657	764437	764437
AT3G28960	AT3G28960.1	257543_at	3	10984050	10987203	10984189	10987203	10987203
AT3G28960	AT3G28960.4	257543_at	3	10984050	10987203	10984169	10985668	10985668
AT3G28960	AT3G28960.3	257543_at	3	10984050	10987203	10984050	10985855	10985855
AT3G28960	AT3G28960.2	257543_at	3	10984050	10987203	10984050	10986637	10986637
AT3G28960	AT3G28960.5	257543_at	3	10984050	10987203	10984198	10986626	10986626
AT1G65630	AT1G65630.1	264631_at	1	24406461	24409068	24406461	24409068	24409068
AT3G10210	AT3G10210.1	259152_at	3	3160089	3161725	3160089	3161725	3161725
AT4G27830	AT4G27830.2	253841_at	4	13861649	13864659	13861658	13864327	13864327
AT4G27830	AT4G27830.1	253841_at	4	13861649	13864659	13861649	13864659	13864659
AT1G71390	AT1G71390.2	259893_at	1	26906401	26908975	26906401	26908975	26906401
AT1G71390	AT1G71390.1	259893_at	1	26906401	26908975	26906453	26908905	26906453
AT5G46260	AT5G46260.1	248851_s_at	5	18758699	18763503	18758699	18763503	18763503
AT2G32710	AT2G32710.2	267557_at	2	13873362	13876737	13873362	13875837	13873362
AT2G32710	AT2G32710.1	267557_at	2	13873362	13876737	13873362	13876737	13873362
AT5G27680	AT5G27680.2	246734_at	5	9793745	9799149	9793745	9799149	9799149
AT5G27680	AT5G27680.3	246734_at	5	9793745	9799149	9793745	9799149	9799149
AT5G27680	AT5G27680.5	246734_at	5	9793745	9799149	9793758	9798961	9798961
AT5G27680	AT5G27680.4	246734_at	5	9793745	9799149	9793749	9799144	9799144
AT5G27680	AT5G27680.1	246734_at	5	9793745	9799149	9793745	9799149	9799149
AT5G27680	AT5G27680.6	246734_at	5	9793745	9799149	9793790	9798961	9798961
AT4G19380	AT4G19380.1	254572_at	4	10568323	10572516	10568365	10572412	10572412
AT4G19380	AT4G19380.2	254572_at	4	10568323	10572516	10568323	10572516	10572516
AT5G61960	AT5G61960.2	247506_at	5	24878507	24884852	24878520	24884174	24884174
AT5G61960	AT5G61960.10	247506_at	5	24878507	24884852	24878520	24884150	24884150
AT5G61960	AT5G61960.5	247506_at	5	24878507	24884852	24878520	24884174	24884174
AT5G61960	AT5G61960.9	247506_at	5	24878507	24884852	24878520	24884174	24884174
AT5G61960	AT5G61960.6	247506_at	5	24878507	24884852	24878520	24884174	24884174
AT5G61960	AT5G61960.11	247506_at	5	24878507	24884852	24878520	24884174	24884174
AT5G61960	AT5G61960.1	247506_at	5	24878507	24884852	24878507	24884852	24884852
AT5G61960	AT5G61960.3	247506_at	5	24878507	24884852	24878520	24884174	24884174
AT5G61960	AT5G61960.8	247506_at	5	24878507	24884852	24878520	24884174	24884174
AT5G61960	AT5G61960.4	247506_at	5	24878507	24884852	24878520	24884174	24884174
AT5G61960	AT5G61960.7	247506_at	5	24878507	24884852	24878520	24884174	24884174
AT4G29180	AT4G29180.2	253734_at	4	14385471	14389775	14385471	14389730	14385471
AT4G29180	AT4G29180.1	253734_at	4	14385471	14389775	14385593	14389689	14385593
AT4G29180	AT4G29180.3	253734_at	4	14385471	14389775	14385498	14389775	14385498
AT3G09680	AT3G09680.1	258712_s_at	3	2969045	2970371	2969045	2970371	2970371
AT1G56233	AT1G56233.1		1	21050540	21051017	21050540	21051017	21051017
AT1G15210	AT1G15210.1	262575_at	1	5231345	5236886	5231345	5236886	5236886
AT3G63470	AT3G63470.1	251116_at	3	23438396	23441060	23438396	23441060	23438396
AT2G16970	AT2G16970.1	266525_at	2	7369452	7375688	7369502	7375634	7369502
AT2G16970	AT2G16970.8		2	7369452	7375688	7369502	7374253	7369502
AT2G16970	AT2G16970.6		2	7369452	7375688	7369452	7374233	7369452
AT2G16970	AT2G16970.3		2	7369452	7375688	7369452	7375688	7369452
AT2G16970	AT2G16970.7	266525_at	2	7369452	7375688	7369495	7375628	7369495
AT2G16970	AT2G16970.4		2	7369452	7375688	7369452	7375375	7369452
AT2G16970	AT2G16970.2	266525_at	2	7369452	7375688	7369452	7375688	7369452
AT2G16970	AT2G16970.5	266525_at	2	7369452	7375688	7369452	7375688	7369452
AT1G15250	AT1G15250.1	262594_at	1	5248664	5249676	5248664	5249676	5249676
AT1G15250	AT1G15250.2	262594_at	1	5248664	5249676	5248664	5249558	5249558
AT1G79700	AT1G79700.2	261395_at	1	29990336	29993766	29990336	29993766	29993766
AT1G79700	AT1G79700.3	261395_at	1	29990336	29993766	29990440	29993724	29993724
AT1G79700	AT1G79700.1	261395_at	1	29990336	29993766	29990336	29993724	29993724
AT1G79700	AT1G79700.4	261395_at	1	29990336	29993766	29990440	29993058	29993058
AT2G46620	AT2G46620.1	265450_at	2	19138769	19140849	19138769	19140849	19140849
AT3G46920	AT3G46920.1	252469_at	3	17280430	17285048	17280430	17285048	17285048
AT3G46920	AT3G46920.2	252469_at	3	17280430	17285048	17280430	17285022	17285022
AT2G43750	AT2G43750.2	260566_at	2	18129435	18132638	18129435	18132637	18132637
AT2G43750	AT2G43750.1	260566_at	2	18129435	18132638	18129435	18132638	18132638
AT1G62895	AT1G62895.1		1	23295989	23296858	23295989	23296858	23295989
AT2G24490	AT2G24490.2	265695_at	2	10397377	10400802	10397377	10400498	10400498
AT2G24490	AT2G24490.1	265695_at	2	10397377	10400802	10398404	10400802	10400802
AT3G57080	AT3G57080.1	251662_at	3	21125725	21128075	21125725	21128075	21125725
AT3G13820	AT3G13820.1	257603_at	3	4549616	4551011	4549616	4551011	4549616
AT2G15080	AT2G15080.2	265917_at	2	6533261	6537002	6533687	6536995	6533687
AT2G15080	AT2G15080.1	265917_at	2	6533261	6537002	6533261	6537002	6533261
AT1G73360	AT1G73360.1	245726_at	1	27578421	27582685	27578421	27582685	27582685
AT1G16360	AT1G16360.1	262755_at	1	5593270	5595814	5593301	5595179	5595179
AT1G16360	AT1G16360.4	262755_at	1	5593270	5595814	5593301	5595223	5595223
AT1G16360	AT1G16360.5	262755_at	1	5593270	5595814	5593301	5595179	5595179
AT1G16360	AT1G16360.3	262755_at	1	5593270	5595814	5593301	5595179	5595179
AT1G16360	AT1G16360.2	262755_at	1	5593270	5595814	5593270	5595814	5595814
AT1G10225	AT1G10225.1		1	3354243	3354856	3354243	3354856	3354243
AT3G49770	AT3G49770.1	252249_at	3	18460890	18461876	18460890	18461876	18461876
AT4G31660	AT4G31660.1		4	15334013	15335630	15334013	15335630	15334013
AT1G26670	AT1G26670.1	261276_at	1	9215770	9218010	9215770	9218010	9215770
AT1G34855	AT1G34855.1		1	12801427	12802067	12801427	12802067	12801427
AT1G52200	AT1G52200.1	259841_at	1	19441636	19443631	19441636	19443624	19443624
AT1G52200	AT1G52200.2	259841_at	1	19441636	19443631	19442068	19443631	19443631
AT1G57800	AT1G57800.2		1	21408623	21412283	21408623	21412283	21412283
AT1G57800	AT1G57800.1		1	21408623	21412283	21408623	21412283	21412283
AT4G23200	AT4G23200.1	254242_at	4	12145035	12148041	12145035	12148041	12148041
AT4G23200	AT4G23200.2	254242_at	4	12145035	12148041	12145173	12147993	12147993
AT1G69460	AT1G69460.1		1	26111688	26113256	26111688	26113256	26113256
AT1G04310	AT1G04310.2	263653_at	1	1154740	1157813	1154740	1157786	1157786
AT1G04310	AT1G04310.1	263653_at	1	1154740	1157813	1154764	1157813	1157813
AT1G08080	AT1G08080.1	260649_at	1	2516991	2518611	2516991	2518611	2518611
AT2G37678	AT2G37678.1	267161_at	2	15801418	15802793	15801418	15802793	15802793
AT2G37678	AT2G37678.2	267161_at	2	15801418	15802793	15801465	15802793	15802793
AT3G56070	AT3G56070.2	251740_at	3	20806566	20808168	20806763	20808051	20808051
AT3G56070	AT3G56070.1	251740_at	3	20806566	20808168	20806566	20808168	20808168
AT5G15420	AT5G15420.1	246552_at	5	5007826	5008964	5007826	5008964	5008964
AT5G06020	AT5G06020.1	250759_at	5	1811938	1812393	1811938	1812393	1811938
AT3G15251	AT3G15251.1		3	5137205	5137318	5137205	5137318	5137205
AT1G75550	AT1G75550.2	262974_at	1	28368447	28370061	28368447	28370061	28370061
AT1G75550	AT1G75550.1	262974_at	1	28368447	28370061	28369232	28370008	28370008
AT1G71890	AT1G71890.1	260170_at	1	27058381	27060786	27058381	27060786	27058381
AT1G05430	AT1G05430.1	261386_at	1	1594053	1595923	1594053	1595923	1595923
AT4G29810	AT4G29810.3	253646_at	4	14592963	14595384	14593039	14595269	14595269
AT4G29810	AT4G29810.1	253646_at	4	14592963	14595384	14592963	14595384	14595384
AT4G29810	AT4G29810.2	253646_at	4	14592963	14595384	14593039	14595303	14595303
AT3G02780	AT3G02780.1	258619_at	3	602401	605506	602401	605506	605506
AT3G02780	AT3G02780.2	258619_at	3	602401	605506	602431	604744	604744
AT4G26560	AT4G26560.1	253968_at	4	13406733	13408087	13406733	13408087	13408087
AT1G80870	AT1G80870.1	261883_at	1	30391899	30394398	30391899	30394398	30391899
AT4G23670	AT4G23670.1	254225_at	4	12332429	12333904	12332429	12333904	12333904
AT2G46225	AT2G46225.3	266591_at	2	18981911	18984292	18981911	18984243	18981911
AT2G46225	AT2G46225.2	266591_at	2	18981911	18984292	18981918	18984292	18981918
AT2G46225	AT2G46225.1	266591_at	2	18981911	18984292	18981918	18984292	18981918
AT5G18730	AT5G18730.1		5	6246761	6249405	6246761	6249405	6246761
AT5G67570	AT5G67570.1	247004_at	5	26952341	26955543	26952341	26955543	26952341
AT1G75310	AT1G75310.1	261117_at	1	28260801	28266323	28260801	28266124	28260801
AT1G75310	AT1G75310.2	261117_at	1	28260801	28266323	28260831	28266323	28260831
AT5G29054	AT5G29054.1		5	11116913	11117014	11116913	11117014	11117014
AT2G27700	AT2G27700.2	266245_at	2	11813949	11816002	11813949	11816002	11816002
AT2G27700	AT2G27700.1	266245_at	2	11813949	11816002	11813949	11816002	11816002
AT1G02010	AT1G02010.4		1	347613	352545	347824	352503	347824
AT1G02010	AT1G02010.6		1	347613	352545	349020	352536	349020
AT1G02010	AT1G02010.1		1	347613	352545	347613	352545	347613
AT1G02010	AT1G02010.5		1	347613	352545	347824	352503	347824
AT1G02010	AT1G02010.2		1	347613	352545	347974	352303	347974
AT1G02010	AT1G02010.3		1	347613	352545	347805	352543	347805
AT1G47900	AT1G47900.1	259806_at	1	17647144	17651791	17647144	17651791	17651791
AT1G47900	AT1G47900.3	259806_at	1	17647144	17651791	17647144	17651126	17651126
AT1G47900	AT1G47900.2	259806_at	1	17647144	17651791	17647144	17651425	17651425
AT5G57625	AT5G57625.1		5	23337832	23338855	23337832	23338855	23337832
AT4G02725	AT4G02725.1		4	1204013	1207436	1204013	1207436	1204013
AT4G02725	AT4G02725.2		4	1204013	1207436	1204013	1207436	1204013
AT1G14315	AT1G14315.2		1	4886768	4887933	4886861	4887933	4887933
AT1G14315	AT1G14315.1		1	4886768	4887933	4886768	4887439	4887439
AT5G66440	AT5G66440.1	247049_at	5	26529919	26531176	26529919	26531176	26531176
AT4G35440	AT4G35440.2	253141_at	4	16835986	16839375	16835986	16839375	16839375
AT4G35440	AT4G35440.1	253141_at	4	16835986	16839375	16835986	16839375	16839375
AT3G52460	AT3G52460.1	252046_at	3	19446637	19448002	19446637	19448002	19446637
AT4G26240	AT4G26240.1	254010_at	4	13286481	13289057	13286481	13289057	13289057
AT3G55380	AT3G55380.2	251802_at	3	20531069	20533285	20531407	20533173	20531407
AT3G55380	AT3G55380.1	251802_at	3	20531069	20533285	20531069	20533285	20531069
AT2G16953	AT2G16953.1		2	7361336	7362157	7361336	7362157	7361336
AT2G22320	AT2G22320.1	263455_at	2	9480105	9480440	9480105	9480440	9480105
AT1G26760	AT1G26760.1	261262_at	1	9248152	9249943	9248152	9249943	9249943
AT1G05250	AT1G05250.1	264567_s_at	1	1525601	1527360	1525601	1527360	1527360
AT3G44560	AT3G44560.1	252640_at	3	16151123	16154607	16151123	16154607	16151123
AT3G44560	AT3G44560.2	252640_at	3	16151123	16154607	16151123	16154607	16151123
AT3G44560	AT3G44560.3	252640_at	3	16151123	16154607	16151123	16154607	16151123
AT1G67260	AT1G67260.3		1	25167418	25169707	25167923	25169707	25169707
AT1G67260	AT1G67260.2		1	25167418	25169707	25167418	25169707	25169707
AT1G67260	AT1G67260.1		1	25167418	25169707	25168228	25169307	25169307
AT4G31950	AT4G31950.1	253503_at	4	15455083	15457121	15455083	15457121	15455083
AT5G51680	AT5G51680.1	248424_at	5	20997320	20998907	20997320	20998907	20997320
AT4G10925	AT4G10925.1	254953_at	4	6702713	6704651	6702713	6704638	6704638
AT4G10925	AT4G10925.5	254953_at	4	6702713	6704651	6702743	6704651	6704651
AT4G10925	AT4G10925.4	254953_at	4	6702713	6704651	6702713	6704638	6704638
AT4G10925	AT4G10925.2	254953_at	4	6702713	6704651	6702713	6704638	6704638
AT4G10925	AT4G10925.3	254953_at	4	6702713	6704651	6702713	6704645	6704645
AT3G56520	AT3G56520.1	251691_at	3	20947107	20947731	20947107	20947731	20947731
AT1G24575	AT1G24575.1	265025_at	1	8710847	8711578	8710847	8711578	8711578
AT4G31690	AT4G31690.1		4	15343990	15345180	15343990	15345180	15345180
AT1G12790	AT1G12790.1	261205_at	1	4358895	4361371	4358895	4361371	4361371
AT4G34640	AT4G34640.1	253206_at	4	16538189	16542024	16538189	16542024	16538189
AT4G34640	AT4G34640.2	253206_at	4	16538189	16542024	16538702	16541926	16538702
AT4G03340	AT4G03340.2	255424_at	4	1467727	1470080	1467865	1470080	1470080
AT4G03340	AT4G03340.1	255424_at	4	1467727	1470080	1467727	1470080	1470080
AT2G37260	AT2G37260.1	265954_at	2	15644811	15647076	15644811	15647076	15644811
AT2G37260	AT2G37260.2	265954_at	2	15644811	15647076	15645407	15646928	15645407
AT2G37260	AT2G37260.3	265954_at	2	15644811	15647076	15645491	15647068	15645491
AT5G54610	AT5G54610.1	248169_at	5	22184545	22186633	22184545	22186633	22186633
AT3G27970	AT3G27970.1		3	10389482	10391703	10389482	10391703	10389482
AT4G13550	AT4G13550.1	254715_at	4	7870995	7877059	7871251	7877059	7877059
AT4G13550	AT4G13550.3	254715_at	4	7870995	7877059	7871057	7876877	7876877
AT4G13550	AT4G13550.2	254715_at	4	7870995	7877059	7870995	7876877	7876877
AT1G04850	AT1G04850.1	261153_at	1	1365107	1368940	1365118	1368940	1368940
AT1G04850	AT1G04850.2	261153_at	1	1365107	1368940	1365107	1368461	1368461
AT5G20560	AT5G20560.1	246086_at	5	6955190	6956474	6955190	6956474	6955190
AT3G17420	AT3G17420.1	257295_at	3	5959174	5962289	5959174	5962289	5962289
AT3G08780	AT3G08780.1	258668_at	3	2666063	2667560	2666063	2667560	2667560
AT3G08780	AT3G08780.2	258668_at	3	2666063	2667560	2666063	2667560	2667560
AT1G31760	AT1G31760.1	246581_at	1	11372394	11374301	11372394	11374301	11374301
AT5G65470	AT5G65470.1	247186_at	5	26172009	26175132	26172009	26175132	26172009
AT1G33250	AT1G33250.1	256533_at	1	12057198	12059792	12057198	12059792	12059792
AT1G74000	AT1G74000.1	260335_at	1	27829051	27831536	27829051	27831536	27831536
AT3G55660	AT3G55660.1	251778_at	3	20648794	20651484	20648830	20651484	20651484
AT3G55660	AT3G55660.2	251778_at	3	20648794	20651484	20648794	20651443	20651443
AT4G15562	AT4G15562.1		4	8888197	8889070	8888197	8889070	8889070
AT3G48480	AT3G48480.1	252360_at	3	17956936	17959124	17956936	17959124	17959124
AT5G66420	AT5G66420.3	247077_at	5	26521674	26525177	26522456	26525115	26525115
AT5G66420	AT5G66420.1	247077_at	5	26521674	26525177	26521674	26525099	26525099
AT5G66420	AT5G66420.2	247077_at	5	26521674	26525177	26521674	26525177	26525177
AT3G02740	AT3G02740.1	258615_at	3	590425	593228	590425	593228	590425
AT3G02740	AT3G02740.2	258615_at	3	590425	593228	590425	593228	590425
AT1G55580	AT1G55580.1	265072_at	1	20763844	20765823	20763844	20765823	20763844
AT1G53903	AT1G53903.1	262226_at	1	20132071	20133045	20132071	20133045	20132071
AT3G63400	AT3G63400.1	251177_at	3	23412024	23415659	23412024	23415659	23412024
AT3G63400	AT3G63400.4	251177_at	3	23412024	23415659	23412024	23415435	23412024
AT3G63400	AT3G63400.3	251177_at	3	23412024	23415659	23412024	23415659	23412024
AT3G63400	AT3G63400.2		3	23412024	23415659	23412024	23415659	23412024
AT1G19715	AT1G19715.1	261133_at	1	6816702	6819542	6816702	6819542	6819542
