ID	ZT0	ZT3	ZT6	ZT9	ZT12	ZT15	ZT18	ZT21	ZT24	ZT27	ZT30	ZT33	ZT36	ZT39	ZT42	ZT45	ZT48	ZT51	ZT54	ZT57	ZT60	ZT63	ZT66	ZT69	ZT72
AT1G01180	4.545735346	6.582091614	9.36236891	8.741899204	6.810973619	6.88310613	7.2590223	5.659623731	6.084095511	5.359996592	7.388028429	8.843162079	7.575295391	6.570994304	7.286765553	8.657288464	5.572586072	7.075345641	8.356757566	8.999585071	7.856786229	6.607191837	8.428188864	6.642550886	9.385542687
AT1G01210	3.092998688	3.350410768	2.37556564	3.405133738	3.411216771	3.19839576	2.75045624	4.576661893	2.894363677	3.459859102	3.038271115	4.434781321	4.619226065	4.153050008	2.677489088	3.705112452	3.330338433	2.767187814	2.342499916	4.212779954	3.609333062	4.437006898	3.435737884	4.602335521	3.928064991
AT1G01300	6.896766677	8.044973946	8.13319816	7.529638851	6.613711486	8.392915543	7.618034761	8.632706963	7.48261975	7.749688245	8.880967817	7.959393436	8.717341345	7.036883698	7.590763683	6.771695778	8.021974937	5.853122095	9.499517921	7.367579683	6.812427256	7.367579683	8.503788506	7.867604775	6.26858656
AT1G01360	6.722912105	6.028765274	5.753860791	6.23654313	3.786255444	5.510079061	6.164204155	5.597805371	5.179162792	6.638255311	7.364723317	5.245345259	3.954017597	4.65894115	5.182241046	5.025253669	6.033981928	5.511402999	5.359964961	5.449415409	4.479587443	4.751074197	5.073570223	4.663193056	5.822517932
AT1G01480	2.792960322	1.855556354	1.601277524	1.469042768	3.487498175	2.687817065	1.414249842	2.208006822	2.821095235	2.547130606	3.518594372	1.510507685	2.122115208	2.518995497	0.901861941	1.377228579	2.897549805	2.439286978	1.422351181	1.712257154	2.244508005	1.332510528	1.050909904	2.058030424	0.906304611
AT1G01500	4.533354995	4.014612881	6.312463464	7.278304869	5.02025616	4.46569298	4.61030066	4.02389695	4.738991066	3.957561688	7.198702555	5.720752934	6.516776069	4.305161533	5.759227385	5.615947232	4.777127338	5.477159449	7.155207435	8.858280723	7.711180474	7.910701026	4.71355291	5.30401141	4.646121701
AT1G01520	0.884229168	0.651051241	0.594374683	0.588716127	0.235486619	0.824203167	0.884228536	1.890817679	0.79649829	1.530661931	0.706459353	0.706459353	0.824202578	0.11774331	0.588716127	1.715358412	2.323357671	1.199342182	0.995724716	0.762682761	0.177724042	0.883911657	0.795638758	1.790185926	3.795487502
AT1G01540	5.928175122	4.756166771	5.650653088	6.045543404	4.380001901	4.582684342	4.461300711	4.637073211	5.258861272	5.901261092	5.399708291	4.905026077	4.329041924	4.292401863	5.720908201	5.254284634	6.206990956	4.736169069	4.951582157	5.497995845	4.47026261	4.36780685	5.12963729	6.024269285	5.470131801
AT1G01550	8.757317481	9.098977103	7.862428814	8.656963717	9.626996518	9.505942293	7.536416527	9.605486604	9.442222799	7.908339439	9.958295705	8.458657924	8.14805849	9.215252872	7.770560716	7.70287147	10.26317973	7.10968195	8.314726552	7.245696081	8.12715466	8.681355688	8.216477437	9.357366222	8.042136119
AT1G01570	1.279489776	2.141368306	2.147116114	2.949932655	2.661161028	4.078373662	2.10138275	2.2257775	2.49233768	3.67853048	1.634902435	0.679728458	1.865921258	3.891781403	3.589677086	1.261719085	2.239976621	1.372523592	2.437022087	1.288722646	1.451795793	1.080352728	2.794876769	1.510681907	0.679728458
AT1G01600	4.075971239	2.907898385	2.492394965	2.45898144	4.886698669	2.050269368	3.36127799	1.817993544	1.891695985	3.783391971	1.708556587	1.804593101	4.100535808	2.282543894	2.391979221	3.196008133	3.89514992	3.254118232	3.441987199	2.823727507	4.344899945	3.273474429	2.703037859	4.018118699	2.724756909
AT1G01630	1.975578317	2.767157011	3.416434033	3.804627647	2.174315095	2.388209764	3.607575219	2.029471587	2.147366202	2.421892234	2.888418067	3.430733296	2.558313145	3.077051649	3.486312186	3.897261914	2.243564245	2.499431885	3.353755048	3.91099699	2.472816548	3.382089384	4.12221953	3.574419422	3.292628176
AT1G01715	3.40908531	2.973492701	2.801546249	2.466827958	1.185270414	2.200888969	3.335719961	1.519987859	3.631464205	3.723167847	5.479292582	2.923053574	3.438886558	2.104600077	2.271957719	2.343029715	4.267186214	3.395282376	3.695656754	3.783314647	2.909075342	2.833103091	2.358583383	1.809258904	3.370108827
AT1G02000	5.190213828	4.626060151	5.862682558	4.403714086	4.013234392	4.682475519	5.038663065	5.51542789	5.363880834	5.220077059	4.617207383	5.133794793	4.551942593	3.655937063	4.400395537	5.122736623	5.875653095	5.211899981	5.522628924	5.644439181	5.568311748	4.841393782	5.676023672	5.954604187	6.205686014
AT1G02300	0.854648378	1.279687412	1.868629051	3.983785942	1.854023309	2.751327935	2.714763498	1.032889816	0.93234302	0.67640572	1.412225456	2.810739986	2.210506081	2.407031084	4.609918264	3.059062289	1.098188478	1.357590848	2.701201928	2.85886265	2.274820615	2.255402645	2.454227772	1.765334095	2.113006157
AT1G02390	1.923061587	1.866717107	2.958635464	1.558046237	1.707482708	2.623692942	2.515901706	2.866217133	1.741778104	2.809872694	2.170485795	3.341470231	2.248878058	2.459559023	3.118542231	2.033300786	1.316336758	1.135246786	1.79841075	2.626429033	1.725975995	2.095648083	2.356669104	3.01108911	2.846619067
AT1G02500	2.745817364	2.845084046	2.530325372	2.58429685	2.390812791	3.067172215	3.200086333	3.376747251	3.432269253	2.500172603	2.962855958	3.27748064	4.184340016	4.56458487	2.954443534	4.051426601	3.05182972	2.532040847	2.918880421	2.677856207	3.43867175	4.300695395	3.435240798	3.569903118	2.956126019
AT1G02640	3.616335687	1.29184952	2.920140635	1.473086737	2.309734215	2.263370937	1.738621685	2.278121262	1.930396925	1.289741177	1.173833065	2.417210997	2.796546637	1.296064364	1.331889582	1.850316278	2.391550057	2.303451627	2.406591252	2.07138747	2.3023789	2.005850834	2.058496488	1.163543895	1.496268359
AT1G02650	3.304441823	4.571898961	4.572852883	4.982842639	4.226632276	3.892016491	3.276924657	2.392900562	4.301185506	3.892901285	6.20148228	4.381067201	5.860653713	5.016574049	5.850890395	2.699115655	3.081901938	4.559278216	4.759278313	7.093668578	4.067425681	4.99185761	3.73348863	3.32126857	3.394972051
AT1G02720	5.722433007	7.248725365	7.580041634	7.346440055	7.716385066	8.484184575	5.43159598	7.5348998	7.171940291	5.55025582	6.618194374	7.701256241	8.068869077	7.247562032	6.917170636	8.306194689	6.593171336	6.917581224	8.432284794	7.457275918	7.432372241	8.546747515	7.008326107	7.706365777	7.231270211
AT1G02840	3.696722735	4.473557205	4.662346457	5.412603824	6.158801358	4.779965233	4.251858948	4.190577386	4.785369015	5.573017324	4.850255375	5.374753448	5.953323487	4.174358778	4.509601987	3.839112348	4.25620591	4.822229839	4.23139642	4.23139642	4.607217547	5.426846309	5.456254047	5.696075224	3.8481216
AT1G03090	2.090852689	3.246580786	3.794928797	3.38518765	4.353502798	4.380834206	2.943980955	3.186058965	2.151370698	2.276314187	3.037688572	3.152870851	4.841560192	3.404712502	5.378426745	3.135302912	2.376682394	2.774786647	2.686208451	5.126587525	4.117396184	3.172890901	2.613556292	2.714075749	2.984978037
AT1G03220	4.513575448	5.718147799	6.128209612	5.437235739	6.319243685	5.638398444	4.976594269	4.49214704	4.781387032	5.668151617	6.169262879	4.552851729	7.008415943	5.11943249	6.81082813	4.958743491	6.619121739	6.25078594	5.545061831	8.053022057	6.864279299	6.096048496	5.31690375	5.784146353	5.317016647
AT1G03230	4.596590608	4.979012903	5.616772746	5.849176178	5.434158127	5.691196063	5.159562695	3.578467055	4.862401976	4.60411038	3.727674336	5.035432268	6.825919638	6.279248708	5.130724313	5.129474134	4.303188133	6.332053127	6.117277248	5.67110593	7.722348926	7.846350912	6.023317104	5.824517271	5.179624178
AT1G03440	4.752909663	5.692784164	8.004557129	8.983329932	6.06754425	6.179575705	8.358730234	6.269791247	4.240337945	5.174263206	5.258534594	8.734481481	8.107898927	7.069878766	8.136650342	9.300593564	3.792270767	5.8291695	8.541327961	10.26081419	5.656315136	7.762959711	9.316670262	8.509485624	10.03920085
AT1G03630	0.666494259	1.540188805	1.891683105	3.886729287	2.905984035	2.781663862	2.771301868	2.919795302	1.40896095	0.73210716	1.203487478	2.553741721	2.465681662	2.293016517	4.755243205	4.093932351	1.573908512	1.759643801	1.85911341	4.770139948	1.983231773	2.080939442	3.540416419	3.911884467	3.170162137
AT1G03930	5.468889905	5.440384894	6.133869363	6.890063373	4.568945997	4.263535168	5.02909472	4.845848353	4.64359866	4.031420059	4.944937129	4.328686386	4.635454377	4.093862485	5.762080185	5.261210542	5.267487995	4.334674829	4.324294861	4.639153904	4.497297548	3.89664016	5.459175312	4.421174567	5.578833818
AT1G04170	4.276136953	4.79041623	3.349124688	4.538987563	3.88566565	4.112329479	4.276133898	4.565653877	3.782807092	3.6742371	4.662795449	5.100884891	4.959934375	4.651370351	3.938995502	3.500908561	4.117219101	3.626842769	4.404647604	2.844182723	3.958942043	4.453199716	3.591887814	3.841443104	2.919961366
AT1G04250	3.379068934	1.320520621	1.570296008	1.244277202	0.777673807	1.244278091	0.744126562	0.933207902	2.811822501	3.498004782	1.186332921	1.701732056	0.622138601	0.777673807	2.811822501	1.771876399	2.262159101	2.795437844	0.867549676	1.606055224	0.771155818	1.256236806	2.109795252	1.360404957	2.705083036
AT1G04350	3.099676536	2.314666403	2.777990696	2.469161314	1.810812381	2.136508075	2.675156734	4.247959601	3.364127901	3.018946387	1.650747079	3.888859477	2.761452113	2.289612888	2.413486877	3.830404054	3.081689295	1.891730062	2.777990696	2.049255972	1.579517677	1.963397255	2.971707112	2.697808589	3.766375714
AT1G04520	2.5862122025	3.252079281	3.417868706	2.9348218	2.627580236	1.789514246	4.1444808605	3.984901652	2.6387653355	3.676926083	1.938015294	3.771348621	2.6360157255	2.5986570175	2.2617591465	4.476194622	3.3127049945	3.539281771	3.3650753235	3.091226617	2.3592588375	2.8504126255	4.478861123	3.243345143	4.178955573
AT1G04550	4.258319403	4.495611771	4.28535893	4.430892506	3.556509248	3.7405906	4.069920737	4.648050821	3.30051876	4.019586028	3.582393129	4.40069168	2.863325861	3.336474507	3.182591728	4.950062609	4.453987254	4.40486509	4.137992438	4.338146927	3.143820739	3.847658454	4.523641315	5.466490365	6.782242472
AT1G04690	2.213568554	4.032577337	4.368702659	6.311691249	5.054903133	3.927949666	4.054004205	4.243090222	3.082102078	3.674571598	4.388056169	5.143139663	4.607395948	4.909937083	5.3977755	5.625943312	3.694567753	3.254355732	4.745935442	5.121240289	3.857159766	4.740151634	4.64054493	4.87703508	4.114511731
AT1G04810	4.247909833	3.240184893	2.978176238	3.354923455	3.801417842	3.7490361	3.995975744	1.780977953	2.818634576	2.105245648	2.180076654	3.015689559	3.893706702	2.823625326	3.112969868	2.671468838	3.940806217	2.329640849	2.891704853	4.449461425	3.349496932	3.10534004	2.500042129	4.008203032	3.561955906
AT1G05000	1.662966487	1.471191109	2.032172925	0.698609804	1.693102617	2.413630107	2.134184461	2.367054396	1.515024399	2.167060216	1.8465216	3.903995965	1.443793595	2.468423072	0.767100962	2.621843373	2.04055302	2.106197094	1.543334077	1.555904219	1.886919301	1.85619094	2.062901412	2.476317936	2.82183568
AT1G05200	2.348092162	3.195495852	2.771584636	3.097189834	2.017094539	2.538478013	3.47298386	2.865740534	2.564607573	1.911323257	2.855785725	2.921736332	2.604426807	2.848321653	3.521513552	3.690747935	2.137209576	2.297706466	3.194078425	3.437678448	2.931449244	3.168703423	2.709417815	2.737962757	3.074791515
AT1G05540	1.806750784	0.722700314	1.853012284	1.324949629	1.733536047	3.245066115	2.954566819	2.607387505	1.445399595	0.965961494	1.764237741	2.843563909	3.833143044	2.170462707	2.848287437	3.835507547	2.935441161	2.222651511	2.278037193	2.432153874	2.540518981	3.191900951	2.432155612	2.751223566	3.131699123
AT1G05562	3.047050452	2.726716665	3.724423675	3.197793479	3.325264226	2.723391401	4.951314895	3.423911285	2.577077934	4.391562484	2.755533653	3.030421966	2.374236961	3.757548575	4.389345643	4.247470838	3.925026073	2.564885307	2.825950963	3.688823813	2.582404544	4.488408018	4.499712776	3.943108542	4.197588876
AT1G05620	0.992109306	1.11612297	1.927669675	2.796384528	2.228598479	3.136816189	1.765369711	2.576321224	1.116122172	0.93010181	1.610960652	2.035281609	2.26020819	3.607338618	3.024958568	2.314921715	1.377261099	2.384484001	2.153287605	3.015470409	1.998951493	2.17126266	2.1006036	2.233865437	1.963548266
AT1G05690	2.413190163	1.78327104	3.053076413	2.52417411	2.677156272	2.065234838	3.619032756	2.899125701	3.017610404	3.518545729	1.513304621	3.638530239	2.195716517	3.28607809	3.125596462	4.275950997	2.542318826	2.517851397	2.92997466	3.340568708	2.414631155	2.80304987	2.822167065	2.441390681	2.825635189
AT1G05805	3.4100645315	3.27652708	5.2080010505	5.655670592	3.932355206	3.8084174545	2.811520821	2.7331528335	2.7336493695	2.9467787315	4.9445619405	2.8992190635	4.930054625	4.2899151765	6.7001472685	2.965972539	2.9898768225	3.7503599625	4.1489332835	5.3434935315	4.717558453	3.617010307	2.639834882	3.118713202	2.682652441
AT1G05890	3.508352743	3.694153356	4.862014956	4.90294678	3.447147836	3.709454583	3.403427613	3.600157533	3.285389661	4.636268444	4.426423197	3.812188669	4.013290365	2.544375447	4.592550684	4.358663782	4.642483224	4.463068966	5.343424642	4.488699574	2.598722662	4.626881984	4.136560258	4.010633011	4.459211517
AT1G06160	2.191027641	0.951449089	1.430850946	1.691463839	1.627205958	1.249942921	2.259430863	2.510248418	0.951448409	1.28725373	1.021926069	2.748628738	1.67488086	1.330785	2.458426609	1.575384112	1.016601632	1.000750256	1.348423787	1.11382341	1.621068626	1.905335492	2.582719506	1.263883111	2.188953203
AT1G06230	6.776171407	6.466542522	5.094171867	6.413041851	5.125898083	6.366034716	4.753043151	6.272006805	5.174527196	4.709273654	5.88294461	5.002691393	4.774117354	5.265312136	5.357710646	4.62984343	6.852008266	5.342103658	5.771852096	4.678472897	5.397478947	4.476821707	4.464428307	6.25366621	4.735211134
AT1G06630	5.1876088795	5.7382070175	5.234575892	5.02754073	4.960720221	4.6770156925	3.946205046	4.400703706	6.892589124	5.473508064	4.845926997	5.3349313705	5.3400389775	5.5188930625	4.0802727245	5.13667823	6.0423455685	5.5166046665	5.240710548	6.07005562	6.0304884	5.6303653225	5.1482865445	5.9331766355	3.439242932
AT1G06640	3.228679922	4.058605939	4.331990238	2.147097387	2.575447832	2.588833735	2.75615556	2.659777124	3.556632017	2.594186244	3.161748147	3.367890913	3.244740689	2.95025313	2.148435976	2.504502543	2.982167193	2.619120752	3.704847984	2.553608612	2.691458996	3.210094846	2.510618064	2.581587755	2.127018546
AT1G06680	2.770430813	3.324516975	3.244586504	4.266460404	2.363014517	1.108172325	1.606848724	2.548794527	3.403824916	2.613981088	1.927349314	1.681813269	1.886064492	1.249409974	5.500659288	3.434247764	2.908939624	3.272834013	2.108593517	5.550358715	1.677681724	2.060406588	2.818660381	2.405469305	5.751627548
AT1G07180	3.38342565	2.2811765	1.803878465	1.222057967	0.856239919	1.800340277	2.198106879	4.266819384	2.19970434	3.81473781	1.873822216	2.869040664	1.059116904	0.733235304	1.289151345	3.546366828	2.839785195	2.166282942	1.925222885	0.946323601	0.672688341	1.750128587	2.777078988	3.08817478	5.891437622
