Protein.ID	protein.length	aa.synthesis.average.cost_Akashi	aa.synthesis.average.cost_Wagner
AT3G05780.1	924	23.42	25.97
AT1G24405.1	61	24.02	27.33
AT2G27490.4	232	23.74	26.48
AT2G27490.1	232	23.74	26.48
AT2G27490.3	232	23.74	26.48
AT2G27490.2	232	23.74	26.48
AT3G13276.1	38	25.45	27.49
AT1G71740.1	130	23.82	26.34
AT1G52920.1	410	24.51	27.11
AT2G17370.1	562	22.46	25.16
AT4G13615.1	71	17.72	18.66
AT3G46680.1	449	23.46	25.52
AT1G70830.3	201	23.59	25.18
AT1G70830.2	249	23.81	25.52
AT1G70830.5	173	23.83	25.58
AT1G70830.4	288	23.62	25.37
AT1G70830.1	335	23.95	25.65
AT2G34090.3	485	23.38	25.84
AT2G34090.2	471	23.14	25.68
AT2G34090.1	445	23.11	25.6
AT2G34090.4	506	23.36	25.87
AT2G34090.5	474	23.26	25.72
AT1G65541.1	31	26.21	26.98
AT2G01050.1	515	22.64	24.67
AT2G07751.1	118	27.29	30.94
AT4G20565.1	177	22.54	24.28
AT1G61566.1	75	23.42	25.75
AT4G29530.2	234	23.71	26.26
AT4G29530.1	245	24.18	26.61
AT5G09225.1	68	24.49	26.13
AT1G21100.1	373	23.6	26.64
AT1G73150.1	461	21.89	24.01
AT1G73150.2	432	22.66	24.91
AT3G51750.3	110	20.5	21.99
AT3G51750.1	110	20.5	21.99
AT3G51750.2	109	20.54	22.11
AT1G07010.1	389	23.19	25.21
AT1G07010.2	385	23.2	25.2
AT1G07010.3	400	23.53	25.66
AT1G32080.1	512	23.37	26.9
AT1G16710.5	1641	22.45	23.96
AT1G16710.7	1680	22.38	23.92
AT1G16710.1	1706	22.4	23.97
AT1G16710.4	1641	22.45	23.96
AT1G16710.8	1680	22.38	23.92
AT1G16710.10	1680	22.38	23.92
AT1G16710.6	1641	22.45	23.96
AT1G16710.3	1680	22.38	23.92
AT1G16710.9	1470	22.28	23.89
AT1G16710.2	1677	22.4	23.95
AT1G07590.1	534	24.28	26.89
AT5G49170.1	185	25.08	27.26
AT2G40240.1	351	23.52	26.12
AT4G30380.2	126	23.86	26.84
AT4G30380.1	124	24.06	27.04
AT2G20619.1	66	25.13	27.66
AT3G05830.2	349	22.89	24.55
AT3G05830.1	336	22.69	24.28
AT3G05830.3	336	22.69	24.28
AT5G11430.6	694	22.23	24.19
AT5G11430.2	694	22.23	24.19
AT5G11430.4	694	22.23	24.19
AT5G11430.3	873	21.87	23.48
AT5G11430.5	639	21.85	23.59
AT5G11430.1	873	21.87	23.48
AT1G20530.1	614	23.36	25.37
AT4G23170.1	265	23.32	25.89
AT1G44780.2	462	20.97	22.61
AT1G44780.1	463	20.96	22.59
AT1G60880.1	201	23.04	25.18
AT1G06160.1	244	22.05	24.23
AT3G07260.1	251	23.39	25.56
AT1G21090.1	242	23.95	26.81
