Protein.Name	Gene.Name	Uniprot.ID	ZT0	ZT03	ZT06	ZT09	ZT12	ZT15	ZT18	ZT21	ZT24	ZT27	ZT30	ZT33	ZT36	ZT39	ZT42	ZT45
ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial	Clpx	Q9JHS4;Q6P8N8;F7BB92	0.0133259300388673	0.0177679067184897	0.0155469183786785	0.0166574125485841	0.0116601887840089	0.0149916712937257	0.0138811771238201	0.0122154358689617	0.0155469183786785	0.0111049416990561	0.0116601887840089	0.0138811771238201	0.0161021654636313	0.0127706829539145	0.0116601887840089	0.0122154358689617
Uridine phosphorylase 2	Upp2	Q8R093;Q8CGR7;A2APN2	0.00333148250971682	0	0.00111049416990561	0.00166574125485841	0.00388672959466963	0.00166574125485841	0.00277623542476402	0.00111049416990561	0.00111049416990561	0	0.00277623542476402	0.000555247084952804	0.00222098833981122	0.00166574125485841	0.00222098833981122	0.00111049416990561
Tryptophan 2,3-dioxygenase	Tdo2	P48776;C5NSA7	0.00610771793448084	0.00888395335924486	0.0105496946141033	0.00999444752915047	0.00666296501943365	0.00832870627429206	0.0105496946141033	0.00832870627429206	0.00888395335924486	0.00666296501943365	0.0105496946141033	0.00777345918933926	0.00943920044419767	0.00777345918933926	0.00888395335924486	0.00610771793448084
Glycerophosphocholine phosphodiesterase GPCPD1	Gpcpd1	Q8C0L9;Q8C0L9-2;B0R058	0.00277623542476402	0.00388672959466963	0.00222098833981122	0.00499722376457524	0.00222098833981122	0.00444197667962243	0.00388672959466963	0.00277623542476402	0.00111049416990561	0.00277623542476402	0.00222098833981122	0.00222098833981122	0.00222098833981122	0.00388672959466963	0.00277623542476402	0.00333148250971682
Carboxylesterase 1C	Ces1c	P23953	0.0161021654636313	0.0177679067184897	0.0149916712937257	0.0194336479733481	0.0155469183786785	0.0161021654636313	0.0177679067184897	0.0161021654636313	0.0172126596335369	0.0111049416990561	0.0161021654636313	0.0133259300388673	0.0194336479733481	0.0144364242087729	0.0177679067184897	0.0183231538034425
Transferrin receptor protein 2	Tfr2	Q9JKX3;Q9JKX3-3	0.00277623542476402	0.00222098833981122	0.00222098833981122	0.00277623542476402	0.00277623542476402	0.00277623542476402	0.00333148250971682	0.00277623542476402	0.00277623542476402	0.00111049416990561	0.00610771793448084	0.00166574125485841	0.00333148250971682	0.00111049416990561	0.00388672959466963	0.00277623542476402
	Irf2bp2	E9Q1P8	0	0.00111049416990561	0.000555247084952804	0.00111049416990561	0.000555247084952804	0.00111049416990561	0.000555247084952804	0.000555247084952804	0.000555247084952804	0.000555247084952804	0.000555247084952804	0.00111049416990561	0.000555247084952804	0.00111049416990561	0.000555247084952804	0.000555247084952804
Phosphoenolpyruvate carboxykinase, cytosolic [GTP]	Pck1	Q9Z2V4	0.0349805663520267	0.0377568017767907	0.0444197667962243	0.0438645197112715	0.0344253192670739	0.0505274847307052	0.0421987784564131	0.0421987784564131	0.0421987784564131	0.0355358134369795	0.0416435313714603	0.0333148250971682	0.0466407551360355	0.0322043309272626	0.0427540255413659	0.0460855080510827
Palladin	Palld	Q9ET54-6;Q9ET54-4;Q9ET54-3;Q9ET54;Q9ET54-5;Q9ET54-2;D3Z1J5	0.00277623542476402	0.00499722376457524	0.00499722376457524	0.00388672959466963	0.00333148250971682	0.00444197667962243	0.00499722376457524	0.00388672959466963	0.00333148250971682	0.00388672959466963	0.00444197667962243	0.00333148250971682	0.00555247084952804	0.00277623542476402	0.00499722376457524	0.00499722376457524
Alpha-1-antitrypsin 1-3	Serpina1c	Q00896	0.0105496946141033	0.00999444752915047	0.00943920044419767	0.00999444752915047	0.0116601887840089	0.0105496946141033	0.0111049416990561	0.0105496946141033	0.00777345918933926	0.00832870627429206	0.0172126596335369	0.00943920044419767	0.0111049416990561	0.0105496946141033	0.0116601887840089	0.0116601887840089
