Protein.Name	Gene.Name	Uniprot.ID	Pvalue.protein	FDR.protein
ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial	Clpx	Q9JHS4;Q6P8N8;F7BB92	4.33e-09	1.21e-05
Uridine phosphorylase 2	Upp2	Q8R093;Q8CGR7;A2APN2	3.19e-07	6.64e-05
Tryptophan 2,3-dioxygenase	Tdo2	P48776;C5NSA7	1.04e-06	0.00144716
Glycerophosphocholine phosphodiesterase GPCPD1	Gpcpd1	Q8C0L9;Q8C0L9-2;B0R058;Q8C0L9-3;A2AMD6;A2AMD7;D6RHB5;D6RGT7;D6RHS8	3.2e-06	0.002968533
Carboxylesterase 1C	Ces1c	P23953;F6XTA4	6.46e-06	0.003595636
Transferrin receptor protein 2	Tfr2	Q9JKX3;Q9JKX3-3;Q9JKX3-2	6.39e-06	0.003595636
	Irf2bp2	E9Q1P8	1.84e-05	0.0058512
Phosphoenolpyruvate carboxykinase, cytosolic [GTP]	Pck1	Q9Z2V4	1.3e-05	0.006029833
Palladin	Palld	Q9ET54-6;Q9ET54-4;Q9ET54-3;Q9ET54;Q9ET54-5;Q9ET54-2;D3Z1J5	2.49e-05	0.009899529
Alpha-1-antitrypsin 1-3	Serpina1c	Q00896	3.62e-05	0.012593075
Apolipoprotein A-IV	Apoa4	P06728	5.49e-05	0.0150282
Clusterin;Clusterin beta chain;Clusterin alpha chain	Clu	Q06890;E9Q8Y5;E9PXG5;E9PUU2;E9Q9B8;E9Q2G2	5.94e-05	0.0150282
Cold shock domain-containing protein E1	Csde1	Q91W50;Q80TP8	4.91e-05	0.0150282
Gamma-aminobutyric acid receptor-associated protein-like 2	Gabarapl2	P60521	8.31e-05	0.019272275
Ganglioside GM2 activator	Gm2a	Q60648	0.000128128	0.020372352
Glycogenin-1	Gyg;Gyg1	D3Z5N4;Q9R062	0.000100256	0.021462496
Heme-binding protein 1	Hebp1	E9QKH1;Q9R257	0.000109699	0.021806594
Apolipoprotein F	Apof	Q91V80	0.000125307	0.023248625
V-type proton ATPase catalytic subunit A	Atp6v1a	P50516;P50516-2;D3Z1B9;D3YWH3;D3YZ23	0.000145289	0.024520686
5-aminolevulinate synthase, nonspecific, mitochondrial	Alas1	Q8VC19;D6RGR8	0.000149785	0.024520686
TSC22 domain family protein 3	Tsc22d3	Q9Z2S7-3;Q9Z2S7;B1AVF2;Q9Z2S7-2	0.00029283	0.03045432
Transferrin receptor protein 1	Tfrc	Q62351;Q8C872	0.000199231	0.030803326
Interferon regulatory factor 5	Irf5	P56477;E9PWX5;E9Q5T2;F6Z6C6	0.000272725	0.0349088
Molybdenum cofactor sulfurase	Mocos	Q14CH1	0.000255675	0.037449659
Transportin-1	Tnpo1	Q8BFY9;Q8BFY9-2	0.000307098	0.042732687
Tripeptidyl-peptidase 2	Tpp2	Q64514-2	0.000332076	0.044007977
	Tsc22d2	E9Q7M2	0.000211781	0.04415634
Phosphatidate phosphatase LPIN1	Lpin1	Q91ZP3;E9QKQ5;Q91ZP3-2	0.000642367	0.044537445
Galectin-3-binding protein	Lgals3bp	Q07797;E9Q5X5	0.0003918	0.0474078
Death-associated protein 1	Dap	Q91XC8	0.000383411	0.0474078
Alpha-1-antitrypsin 1-4	Serpina1d	Q00897	0.000419833	0.048683135
T-complex protein 1 subunit theta	Cct8	P42932	0.000465396	0.051807883
Molybdopterin synthase catalytic subunit	Mocs2	Q9Z223;Q9Z223-1;E9PVP5;Q9Z223-3;E9PUX1	0.000516334	0.054731404
Coxsackievirus and adenovirus receptor homolog	Cxadr	P97792;P97792-2;P97792-3	0.000511388	0.054738185
Corticosteroid-binding globulin	Serpina6	Q06770;D3Z548	0.000537656	0.055418394
Alpha-1-antitrypsin 1-2	Serpina1b	P22599	0.000650527	0.062528924
Clathrin interactor 1	Clint1	Q5SUH6;Q5SUH7;Q99KN9;Q99KN9-2	0.000651577	0.062528924
Serum albumin	Alb	P07724	0.000730169	0.064310492
Tyrosine aminotransferase	Tat	Q8QZR1;D3Z307	0.000762575	0.064310492
Synaptosomal-associated protein 47	Snap47	Q8R570;Q8R570-2;B2FDF6;B2FDF7	0.000715466	0.064310492
	Akr1c14	Q91WT7	0.000755333	0.064310492
Perilipin-2	Plin2	P43883;B1AXR5;B1AXR3	0.000831004	0.068020122
Transmembrane 9 superfamily member 2	Tm9sf2	E9Q0K1;P58021;E9PZ69	0.000958728	0.072111893
Collagen alpha-2(IV) chain;Canstatin	Col4a2	P08122;D3YV27	0.000950012	0.072111893
Leukotriene-B4 omega-hydroxylase 3	Cyp4f14	Q9EP75;G3UW81	0.000952769	0.072111893
ATP-citrate synthase	Acly	Q3V117;Q91V92;Q3TS02	0.000985139	0.072148469
Kalirin	Kalrn	A2CG49-7;A2CG49;E9QN83;A2CG49-2;F6QYT9;A2CG49-8;A2CG49-9;B1B1A7;Q0KL02-2;E9QL39;D3Z4R2;A2CG49-5;D3Z559;D3Z560;D3Z535;D3Z532;A2CG49-6;E9QN03;D3Z534;A2CG49-4	0.000698184	0.078894792
Protein S100-A9	S100a9	P31725	0.001144431	0.081665422
Tubulin beta-2A chain;Tubulin beta-2B chain	Tubb2a;Tubb2b	Q7TMM9;Q9CWF2	0.001177653	0.081935207
	Golgb1	E9PVZ8;E9QAH1;B7ZNF9;Q9CTU9;E9Q028	0.001234442	0.083791514
Antithrombin-III	Serpinc1	P32261	0.001278372	0.084707364
Scaffold attachment factor B1	Safb	D3YXK2;E9PZM6	0.001455164	0.092039123
Poly [ADP-ribose] polymerase 1	Parp1	Q921K2;P11103;P11103-2	0.001431585	0.092039123
Insulin-like growth factor-binding protein 7	Igfbp7	E9Q5D9;F8WH23;Q61581;F8WII5	0.001523386	0.094212961
	Gm20425	E9Q035;F7BAE9;F7CJN9;P47758;E9Q2Q7;E9Q939	0.001715778	0.100015454
Apolipoprotein E	Apoe	P08226;G3UWN5;E9Q327;G3UZM8	0.0017969	0.100015454
Murinoglobulin-1	Mug1	P28665	0.001770394	0.100015454
Fibroblast growth factor 1	Fgf1	P61148;D3Z6E2;D6RCX9;D3Z6H1;D3Z192	0.001734227	0.100015454
Oxidoreductase HTATIP2	Htatip2	Q99KN6;Q9Z2G9;Q9Z2G9-2	0.001770354	0.100015454
UBX domain-containing protein 7	Ubxn7	G5E8R8;Q6P5G6	0.002023591	0.110424583
40S ribosomal protein S6	Rps6;Rps6-ps1	P62754;D3Z6N6	0.002103985	0.112603659
N-acetylglucosamine-6-sulfatase	Gns	Q8BFR4	0.00219078	0.115036618
14-3-3 protein beta/alpha;14-3-3 protein beta/alpha, N-terminally processed	Ywhab	Q9CQV8;Q9CQV8-2;A2A5N1	0.002264869	0.116724638
Histidine-rich glycoprotein	Hrg	Q9ESB3	0.002440048	0.123466429
