Protein.Name	Gene.Name	Uniprot.ID	mRNA.ID	ZT00	ZT03	ZT06	ZT09	ZT12	ZT15	ZT18	ZT21	ZT24	ZT27	ZT30	ZT33	ZT36	ZT39	ZT42	ZT45
ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial	Clpx	Q9JHS4;Q6P8N8;F7BB92	1423447_at	0.231633563	0.247011693	0.342414869	0.182786076	0.066366936	-0.140386032	-0.182946495	-0.06474492	0.13742562	0.25787303	0.276677356	0.209311357	0.078289477	-0.154064674	-0.102322191	-0.015782997
Uridine phosphorylase 2	Upp2	Q8R093;Q8CGR7;A2APN2	1451548_at	-1.043484498	NA	-0.73092249	0.897650931	1.6177201	1.475735685	0.997175085	-0.090311471	-0.704783453	NA	-0.943508801	0.261967206	1.617454475	1.64358571	0.631980427	-0.691534165
Tryptophan 2,3-dioxygenase	Tdo2	P48776;C5NSA7	1419093_at	0.090695392	-0.075874867	0.384546035	0.565822831	0.594639298	0.680937055	0.23236215	0.22585182	0.115144234	0.141652905	0.390301764	0.57181472	0.755721801	0.525891083	0.313907407	0.150208856
Glycerophosphocholine phosphodiesterase GPCPD1	Gpcpd1	Q8C0L9;Q8C0L9-2;B0R058;Q8C0L9-3;A2AMD6;A2AMD7;D6RHB5;D6RGT7;D6RHS8	1429144_at	-0.116497841	-0.146524891	0.208777711	0.430431137	0.724873726	1.133717094	0.997808768	0.323624258	0.449158423	0.184244246	-0.024035935	0.588443592	0.791532683	1.024032381	0.849960307	0.627047902
Carboxylesterase 1C	Ces1c	P23953;F6XTA4	1416913_at	-0.242084171	-0.405338916	-0.513490746	-0.373620373	-0.204891925	-0.08120326	-0.202511756	-0.060739158	-0.146003451	-0.355354621	-0.396707521	-0.353323291	-0.307311939	-0.056167306	-0.069702167	-0.046700587
Transferrin receptor protein 2	Tfr2	Q9JKX3;Q9JKX3-3;Q9JKX3-2	1425381_a_at	0.003857147	-0.157949154	-0.003314389	0.114644302	0.322090407	0.447504882	0.207611049	0.027880862	-0.088684372	-0.367594722	-0.083383588	0.232345202	0.299027693	0.259599114	0.225818077	-0.120484657
	Irf2bp2	E9Q1P8	1433634_at	NA	0.084486748	-0.064055064	-0.311154315	-0.519340608	-0.384491944	-0.386148755	-0.244643546	-0.116231661	-0.005471851	-0.091395186	-0.244765308	-0.347098671	-0.354903461	-0.446467986	-0.059908989
Phosphoenolpyruvate carboxykinase, cytosolic [GTP]	Pck1	Q9Z2V4	1439617_s_at	0.444026825	0.36499791	0.466157608	0.748262732	0.851156982	1.59400764	1.199851791	0.656353407	0.314499341	0.579921884	0.45332034	0.853370843	0.969084841	1.342012509	0.996225082	0.886886298
Palladin	Palld	Q9ET54-6;Q9ET54-4;Q9ET54-3;Q9ET54;Q9ET54-5;Q9ET54-2;D3Z1J5	1433768_at	-0.174789893	0.114066471	-0.151599082	-0.295605489	-0.47019844	-0.339479485	-0.056028539	0.012198922	0.108176449	0.09915444	-0.097745622	-0.290424404	-0.454702328	-0.398459827	-0.282380495	0.094633695
Alpha-1-antitrypsin 1-3	Serpina1c	Q00896	1449321_x_at	0.536544943	0.012038887	0.052296444	0.264495152	0.224115065	0.676480048	0.5239813	0.714301874	0.507685315	0.201825031	0.040853046	0.127053072	0.029543878	0.594225422	0.569564844	0.67196781
